label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,880,0.009100472400257834,0.01443160001087105,0.03906264403714395,Gelb,3385,0.008769914639305912,0.0165999777978744,0.04949398903533124,0.8330243978383118,0.1552388825854026,False,Grün vs. Gelb,30,fwd_return
Grün,880,-0.03909271963323099,-0.0315863543005878,0.030559963405836547,Gelb,3385,-0.0461956112023697,-0.0357183782316946,0.04033570492967111,1.2480093489158483e-08,3.043226740030474e-06,True,Grün vs. Gelb,30,fwd_mdd
Grün,871,0.019612253889847234,0.0253202677002195,0.05398932386968883,Gelb,3364,0.01853536389122496,0.02578170027349675,0.06503837894258294,0.615817678184882,0.5690796009008872,False,Grün vs. Gelb,60,fwd_return
Grün,871,-0.058644043155021405,-0.0483497128719012,0.04419390762546398,Gelb,3364,-0.06920240600412557,-0.0563140588794134,0.05373731006947244,2.4940555804196433e-09,3.8403222415407756e-09,True,Grün vs. Gelb,60,fwd_mdd
Grün,866,0.032176731571532495,0.0351086762918123,0.06205481580483613,Gelb,3340,0.028268426438599295,0.033648361268389396,0.07639468149263519,0.11652438154313845,0.3416547168814045,False,Grün vs. Gelb,90,fwd_return
Grün,866,-0.07302941717933517,-0.059696219773102,0.052198328791654855,Gelb,3340,-0.08539118388772002,-0.0690773026402556,0.06193569324067734,3.02187796006208e-09,1.0884284954905757e-09,True,Grün vs. Gelb,90,fwd_mdd
Gelb,3385,0.008769914639305912,0.0165999777978744,0.04949398903533124,Rot,520,0.020995652995993194,0.0327445286878196,0.07825777141316913,0.0005842081978390727,2.4344781620916265e-10,True,Gelb vs. Rot,30,fwd_return
Gelb,3385,-0.0461956112023697,-0.0357183782316946,0.04033570492967111,Rot,520,-0.07075547939039614,-0.05458797393080605,0.05706991139510548,7.006936367762527e-20,1.3017284588536414e-33,True,Gelb vs. Rot,30,fwd_mdd
Gelb,3364,0.01853536389122496,0.02578170027349675,0.06503837894258294,Rot,520,0.028511123804644455,0.05817831786028135,0.1117325884108932,0.04765938290340131,4.800018930891064e-12,True,Gelb vs. Rot,60,fwd_return
Gelb,3364,-0.06920240600412557,-0.0563140588794134,0.05373731006947244,Rot,520,-0.10669463083613726,-0.0803205835166062,0.08217890223548502,3.8759595748903513e-22,3.762378591214781e-32,True,Gelb vs. Rot,60,fwd_mdd
Gelb,3340,0.028268426438599295,0.033648361268389396,0.07639468149263519,Rot,519,0.03593453503333054,0.0740579554912199,0.1376630845576155,0.21573048370734185,1.8164771088884432e-08,False,Gelb vs. Rot,90,fwd_return
Gelb,3340,-0.08539118388772002,-0.0690773026402556,0.06193569324067734,Rot,519,-0.12758052128552808,-0.0893077572765073,0.09459244882153908,3.0028687568566585e-21,1.5506752818537877e-24,True,Gelb vs. Rot,90,fwd_mdd
Grün,880,0.009100472400257834,0.01443160001087105,0.03906264403714395,Rot,520,0.020995652995993194,0.0327445286878196,0.07825777141316913,0.0012710448404906084,1.3780065975621474e-09,True,Grün vs. Rot,30,fwd_return
Grün,880,-0.03909271963323099,-0.0315863543005878,0.030559963405836547,Rot,520,-0.07075547939039614,-0.05458797393080605,0.05706991139510548,5.37150576968977e-29,1.7814689456350074e-41,True,Grün vs. Rot,30,fwd_mdd
Grün,871,0.019612253889847234,0.0253202677002195,0.05398932386968883,Rot,520,0.028511123804644455,0.05817831786028135,0.1117325884108932,0.08932471437652145,3.18895235144341e-11,False,Grün vs. Rot,60,fwd_return
Grün,871,-0.058644043155021405,-0.0483497128719012,0.04419390762546398,Rot,520,-0.10669463083613726,-0.0803205835166062,0.08217890223548502,1.1158777253727848e-31,3.3658308959754514e-43,True,Grün vs. Rot,60,fwd_mdd
Grün,866,0.032176731571532495,0.0351086762918123,0.06205481580483613,Rot,519,0.03593453503333054,0.0740579554912199,0.1376630845576155,0.5573099840381155,1.9376222746476117e-06,False,Grün vs. Rot,90,fwd_return
Grün,866,-0.07302941717933517,-0.059696219773102,0.052198328791654855,Rot,519,-0.12758052128552808,-0.0893077572765073,0.09459244882153908,1.0734703276462811e-30,9.79401418974297e-36,True,Grün vs. Rot,90,fwd_mdd
