label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Breite SMA20 > 50%,2990,0.005933723691018052,0.0135236251332311,0.046879401584656304,Breite SMA20 < 50%,1795,0.017198040383314704,0.0240501255661438,0.058629810369136,5.4625207387938e-12,4.344735500014495e-20,True,20,30,fwd_return
Breite SMA20 > 50%,2990,-0.04465353225221624,-0.0348122804505995,0.037426873500812335,Breite SMA20 < 50%,1795,-0.0523969498864313,-0.0396117094596173,0.04787544058606138,5.078461867478728e-09,4.648317618880447e-09,True,20,30,fwd_mdd
Breite SMA20 > 50%,2971,0.013921925535586644,0.0229017632597865,0.06677748940376499,Breite SMA20 < 50%,1784,0.029651895112289745,0.0384005606197449,0.07400792992232956,2.332563409256452e-13,1.5814729042503967e-15,True,20,60,fwd_return
Breite SMA20 > 50%,2971,-0.0686163362646869,-0.0523842661179672,0.05642352655377012,Breite SMA20 < 50%,1784,-0.07595175357528515,-0.0594588066667481,0.05899680363935703,2.5111691569357462e-05,3.760816517409159e-08,True,20,60,fwd_mdd
Breite SMA20 > 50%,2953,0.02366825846378113,0.0310039358027542,0.0774570271089736,Breite SMA20 < 50%,1772,0.040089870363781976,0.0456448415175018,0.09097420044379416,2.5603459268492075e-10,2.94069787702805e-15,True,20,90,fwd_return
Breite SMA20 > 50%,2953,-0.08611063590759473,-0.0687060649391164,0.0656606823198615,Breite SMA20 < 50%,1772,-0.09050768181396783,-0.0712905548889986,0.06755152116055553,0.028665510885602954,0.04761857848504128,True,20,90,fwd_mdd
Breite SMA50 > 50%,3147,0.005419727390158406,0.0135192057795077,0.04636113373967624,Breite SMA50 < 50%,1638,0.019265222361028917,0.0256893774537345,0.060083382912808625,5.581237719557025e-16,3.549413979570133e-25,True,50,30,fwd_return
Breite SMA50 > 50%,3147,-0.04395263035491313,-0.0349489869372873,0.03699609546785669,Breite SMA50 < 50%,1638,-0.05448575015467588,-0.04123798122239945,0.04906346051159541,3.200830252866389e-14,8.078859920727866e-14,True,50,30,fwd_mdd
Breite SMA50 > 50%,3129,0.014818917415516046,0.023224745258918,0.06460182356002556,Breite SMA50 < 50%,1626,0.02945426141045702,0.040774530923624805,0.07845415868961962,1.1646312309421027e-10,7.826448799892348e-18,True,50,60,fwd_return
Breite SMA50 > 50%,3129,-0.06688503812900393,-0.0520572361804458,0.05419820104276908,Breite SMA50 < 50%,1626,-0.07999617411749088,-0.06123309167256135,0.06250663612620837,9.311113820436017e-13,5.40573184905541e-13,True,50,60,fwd_mdd
Breite SMA50 > 50%,3121,0.02577496366522591,0.0318146485421133,0.07483189292179783,Breite SMA50 < 50%,1604,0.03771069571633246,0.04862172423959675,0.09687707810063971,1.642889128984141e-05,5.668704073689385e-10,True,50,90,fwd_return
Breite SMA50 > 50%,3121,-0.08342688070029837,-0.0683665427984504,0.06308469445506037,Breite SMA50 < 50%,1604,-0.0961901654263385,-0.0726238180800612,0.0716993410876323,1.8472993402910309e-09,9.706753052959457e-08,True,50,90,fwd_mdd
Breite SMA200 > 50%,3635,0.009370700167519048,0.0161785332684563,0.042803267303001956,Breite SMA200 < 50%,1150,0.01265201844805402,0.023454787209698798,0.07352047507801114,0.15055322135945431,8.131237943123576e-06,False,200,30,fwd_return
Breite SMA200 > 50%,3635,-0.04110187412138623,-0.0324674086643308,0.034984540590416925,Breite SMA200 < 50%,1150,-0.0679663252600276,-0.0511341315476379,0.05349332356942809,3.768961107179304e-53,1.270143233639792e-82,True,200,30,fwd_mdd
Breite SMA200 > 50%,3606,0.019226671234610946,0.025109977429189002,0.05678217728274828,Breite SMA200 < 50%,1149,0.021696819124931037,0.0454851391713322,0.10076758641235772,0.42859320547172364,8.280604313231099e-09,False,200,60,fwd_return
Breite SMA200 > 50%,3606,-0.06226811916413073,-0.0500058003737239,0.04862526941443589,Breite SMA200 < 50%,1149,-0.09992883003902353,-0.0817145731016825,0.07206312952573053,1.188459345947797e-56,1.3854410476621736e-88,True,200,60,fwd_mdd
Breite SMA200 > 50%,3587,0.029578174268607114,0.0343170097601717,0.06576674625970488,Breite SMA200 < 50%,1138,0.030610462589344137,0.049436920307043206,0.12283464782439774,0.7861057514840112,6.907916122996461e-05,False,200,90,fwd_return
Breite SMA200 > 50%,3587,-0.07807865338285189,-0.0661551717187139,0.05728718178495284,Breite SMA200 < 50%,1138,-0.11827433244744151,-0.0927334948444399,0.08210859228281078,1.2515532058798974e-49,2.075886412029263e-69,True,200,90,fwd_mdd
