label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 verlässt unteres Quartil (25%),62,0.011318976292921048,0.0420487437714548,0.08683431983888007,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.9167850223192087,0.07039567070351367,False,20,25,verlässt unteres Quartil (25%),30,fwd_return,62
B7 SMA20 verlässt unteres Quartil (25%),62,-0.08111636682558214,-0.0489558100789657,0.07270655083283445,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.0005847399824787501,1.447992712218612e-05,True,20,25,verlässt unteres Quartil (25%),30,fwd_mdd,62
B7 SMA20 verlässt unteres Quartil (25%),62,0.025415110604902737,0.0446553312847598,0.10732177358860058,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.6838764372677727,0.07233830495023222,False,20,25,verlässt unteres Quartil (25%),60,fwd_return,62
B7 SMA20 verlässt unteres Quartil (25%),62,-0.10954816960227653,-0.0886490125549254,0.0794532835948654,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.0003662060753005547,3.66091016470145e-07,True,20,25,verlässt unteres Quartil (25%),60,fwd_mdd,62
B7 SMA20 verlässt unteres Quartil (25%),62,0.019302228564329654,0.048970597745789005,0.1497838035370761,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.5828453253759178,0.3279407588668034,False,20,25,verlässt unteres Quartil (25%),90,fwd_return,62
B7 SMA20 verlässt unteres Quartil (25%),62,-0.13322034932142252,-0.10281638934200325,0.09539510069544829,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.00040438110612857163,1.680169752673053e-05,True,20,25,verlässt unteres Quartil (25%),90,fwd_mdd,62
B7 SMA20 steigt über 50%,68,0.006842312524516261,0.0276319450235579,0.08476903140973835,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.7485821630675605,0.3489894686552264,False,20,50,steigt über 50%,30,fwd_return,68
B7 SMA20 steigt über 50%,68,-0.07481575505877029,-0.0554870170799837,0.06051670787973021,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.00043130237495883216,6.325703628053567e-06,True,20,50,steigt über 50%,30,fwd_mdd,68
B7 SMA20 steigt über 50%,68,-0.0018844901645739182,0.03834781369893655,0.1214057202510041,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.14593388795223983,0.9006363437214929,False,20,50,steigt über 50%,60,fwd_return,68
B7 SMA20 steigt über 50%,68,-0.11843413495357302,-0.0817145731016825,0.08593659476048582,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,2.716340717749688e-05,6.414877071021085e-09,True,20,50,steigt über 50%,60,fwd_mdd,68
B7 SMA20 steigt über 50%,68,0.006718610391778667,0.024362186721415602,0.13727159630231614,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.17074846182850423,0.6037331207443893,False,20,50,steigt über 50%,90,fwd_return,68
B7 SMA20 steigt über 50%,68,-0.14319791590018624,-0.1153483382875055,0.09724108390079898,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,1.3874003877235992e-05,4.931954806761492e-09,True,20,50,steigt über 50%,90,fwd_mdd,68
B7 SMA50 verlässt unteres Quartil (25%),43,0.022906134169206428,0.0428432990833724,0.07552824576049469,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.2756743709007874,0.021386908800985056,False,50,25,verlässt unteres Quartil (25%),30,fwd_return,43
B7 SMA50 verlässt unteres Quartil (25%),43,-0.06387996942003651,-0.046860045748159,0.05756103587384532,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.07055942113352605,0.027481926824192558,False,50,25,verlässt unteres Quartil (25%),30,fwd_mdd,43
B7 SMA50 verlässt unteres Quartil (25%),43,0.016523941953410747,0.0530159724461423,0.11338459614594362,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.8498282768456096,0.14216626152625716,False,50,25,verlässt unteres Quartil (25%),60,fwd_return,43
B7 SMA50 verlässt unteres Quartil (25%),43,-0.10014853297470702,-0.0817145731016825,0.08003495097321517,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.023361413976995697,0.0032959753874329733,True,50,25,verlässt unteres Quartil (25%),60,fwd_mdd,43
B7 SMA50 verlässt unteres Quartil (25%),43,0.012928782920526545,0.0698765678883013,0.13680377089231835,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.4232620188466732,0.8250376965318604,False,50,25,verlässt unteres Quartil (25%),90,fwd_return,43
