label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Thrust,1029,0.006325321693516934,0.0134259813988024,0.051417745099060816,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.030431640920058463,0.038224062610090766,True,20,B9 SMA20 Breadth Thrust,30,fwd_return,1031
B9 SMA20 Breadth Thrust,1029,-0.04728688960600105,-0.0357183782316946,0.04117549128400678,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.8483097950050666,0.7918334716653217,False,20,B9 SMA20 Breadth Thrust,30,fwd_mdd,1031
B9 SMA20 Breadth Thrust,1024,0.016998955478422582,0.026051380645364247,0.06786744674587902,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.22980297025387655,0.42712942154711764,False,20,B9 SMA20 Breadth Thrust,60,fwd_return,1031
B9 SMA20 Breadth Thrust,1024,-0.07028651972233274,-0.054984522051526305,0.05538554502669064,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.573412785121321,0.43179851981921613,False,20,B9 SMA20 Breadth Thrust,60,fwd_mdd,1031
B9 SMA20 Breadth Thrust,1014,0.027198477177269458,0.0307255237910126,0.07602843507732747,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.3262634138299948,0.07067414704290148,False,20,B9 SMA20 Breadth Thrust,90,fwd_return,1031
B9 SMA20 Breadth Thrust,1014,-0.08625854762992032,-0.0712905548889986,0.06312829309761812,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.4961792889049159,0.8825949534366049,False,20,B9 SMA20 Breadth Thrust,90,fwd_mdd,1031
B9 SMA20 Breadth Collapse,775,0.017458444883956443,0.0243349433588124,0.05435522798760995,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.0005042693690854198,1.8867079766216449e-06,True,20,B9 SMA20 Breadth Collapse,30,fwd_return,777
B9 SMA20 Breadth Collapse,775,-0.05030685921334933,-0.0412173750707082,0.043234743580118834,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.09940688365428282,0.013463209407150623,False,20,B9 SMA20 Breadth Collapse,30,fwd_mdd,777
B9 SMA20 Breadth Collapse,773,0.031575044049611325,0.0399568326521784,0.06705169889054645,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,7.854559261263529e-06,3.440008018355308e-06,True,20,B9 SMA20 Breadth Collapse,60,fwd_return,777
B9 SMA20 Breadth Collapse,773,-0.07094484538917507,-0.057435324213192,0.053532770482140675,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.8400406375469717,0.5484119943483323,False,20,B9 SMA20 Breadth Collapse,60,fwd_mdd,777
B9 SMA20 Breadth Collapse,773,0.04387129335727611,0.0428372345760728,0.07483833276606609,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,2.201980202337304e-06,6.948400470455226e-05,True,20,B9 SMA20 Breadth Collapse,90,fwd_return,777
B9 SMA20 Breadth Collapse,773,-0.08434987718895604,-0.0712905548889986,0.05722180447465006,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.13395660772239987,0.9428740438028059,False,20,B9 SMA20 Breadth Collapse,90,fwd_mdd,777
B9 SMA50 Breadth Thrust,437,0.009059192311877405,0.02141810788765,0.05260087043315031,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.6753974544016815,0.513017396649337,False,50,B9 SMA50 Breadth Thrust,30,fwd_return,437
B9 SMA50 Breadth Thrust,437,-0.046588198772273215,-0.0329602365292945,0.03776952712739281,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.6108245143408887,0.398353362207888,False,50,B9 SMA50 Breadth Thrust,30,fwd_mdd,437
B9 SMA50 Breadth Thrust,430,0.01944002111392989,0.029761735564274798,0.06930220848790992,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.912603727945523,0.8147071704823416,False,50,B9 SMA50 Breadth Thrust,60,fwd_return,437
B9 SMA50 Breadth Thrust,430,-0.06908866879860594,-0.0500058003737239,0.056692336502468035,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.42547012164703196,0.04999432445114235,False,50,B9 SMA50 Breadth Thrust,60,fwd_mdd,437
B9 SMA50 Breadth Thrust,430,0.033013766258339114,0.03505137148578215,0.08281555808059951,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.4453835175403126,0.6144935676117387,False,50,B9 SMA50 Breadth Thrust,90,fwd_return,437
B9 SMA50 Breadth Thrust,430,-0.08345786840726989,-0.0661551717187139,0.06118979342902707,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.1664985352015468,0.06811310195848952,False,50,B9 SMA50 Breadth Thrust,90,fwd_mdd,437
B9 SMA50 Breadth Collapse,401,0.011281085016144167,0.0168385070985634,0.05998073080023179,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.7165550484319898,0.3881035389303422,False,50,B9 SMA50 Breadth Collapse,30,fwd_return,401
B9 SMA50 Breadth Collapse,401,-0.059622829515442954,-0.0423570758656319,0.055371302616454135,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,2.4767369640103335e-05,3.49402239094796e-05,True,50,B9 SMA50 Breadth Collapse,30,fwd_mdd,401
B9 SMA50 Breadth Collapse,400,0.0290880368381501,0.0346044615908441,0.06678450111286116,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.008207930782234585,0.011141806656497714,True,50,B9 SMA50 Breadth Collapse,60,fwd_return,401
B9 SMA50 Breadth Collapse,400,-0.0822414850451267,-0.0670252682708398,0.06318867269640209,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.0009472244184337815,7.875135234733014e-05,True,50,B9 SMA50 Breadth Collapse,60,fwd_mdd,401
B9 SMA50 Breadth Collapse,400,0.044374973968559675,0.048457191493197146,0.07997308781050104,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.0005428994324270514,0.0011571108647474738,True,50,B9 SMA50 Breadth Collapse,90,fwd_return,401
B9 SMA50 Breadth Collapse,400,-0.09149735774453908,-0.07160973005219345,0.06375435923614253,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.26236918647719876,0.08571948056765234,False,50,B9 SMA50 Breadth Collapse,90,fwd_mdd,401
B9 SMA200 Breadth Thrust,66,0.027827859800600062,0.03701616018654245,0.0389789453234509,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.0005288417056815845,0.0008678720487779219,True,200,B9 SMA200 Breadth Thrust,30,fwd_return,66
B9 SMA200 Breadth Thrust,66,-0.039975302071105744,-0.0279682123813105,0.03113456644942999,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.0547393848506692,0.07179226504522321,False,200,B9 SMA200 Breadth Thrust,30,fwd_mdd,66
B9 SMA200 Breadth Thrust,66,0.04801746971121012,0.0570606260282526,0.058103815064466414,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.0002215357918709773,9.498065209092741e-05,True,200,B9 SMA200 Breadth Thrust,60,fwd_return,66
B9 SMA200 Breadth Thrust,66,-0.05246537586617107,-0.038278353863701,0.03375705013804007,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,3.0313296264426707e-05,0.0012147416737479737,True,200,B9 SMA200 Breadth Thrust,60,fwd_mdd,66
B9 SMA200 Breadth Thrust,63,0.07164935737344909,0.0880663847600242,0.0772231317090957,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,6.709308739732897e-05,7.919374719552923e-06,True,200,B9 SMA200 Breadth Thrust,90,fwd_return,66
B9 SMA200 Breadth Thrust,63,-0.060990530843527464,-0.0495534481071028,0.03684927064261067,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,3.569184373439308e-07,5.543442834461502e-05,True,200,B9 SMA200 Breadth Thrust,90,fwd_mdd,66
B9 SMA200 Breadth Collapse,65,0.019256966812658073,0.0133519698291268,0.06442037260860989,Basisrate (alle Tage),4785,0.010159313756362356,0.0168136837545822,0.051883369605137716,0.26111989133297286,0.41329362516116885,False,200,B9 SMA200 Breadth Collapse,30,fwd_return,65
B9 SMA200 Breadth Collapse,65,-0.07934208162223866,-0.0600377288324098,0.08377699252862353,Basisrate (alle Tage),4785,-0.047558325283233165,-0.0363791710201917,0.041818283136492405,0.003285614247943841,0.00012838430928775073,True,200,B9 SMA200 Breadth Collapse,30,fwd_mdd,65
B9 SMA200 Breadth Collapse,65,0.04258147673416756,0.0598524130224205,0.07847490248027211,Basisrate (alle Tage),4755,0.019823558705899646,0.0278762232697982,0.06998636858694338,0.023159319155332883,0.01799586999495146,True,200,B9 SMA200 Breadth Collapse,60,fwd_return,65
B9 SMA200 Breadth Collapse,65,-0.09871412220550688,-0.0825098351826462,0.07863591525928747,Basisrate (alle Tage),4755,-0.07136846759636035,-0.0563424553364532,0.05750612958028923,0.006845543857967099,0.00019011119426313723,True,200,B9 SMA200 Breadth Collapse,60,fwd_mdd,65
B9 SMA200 Breadth Collapse,65,0.06679550950042946,0.061551960078517,0.08220907490713374,Basisrate (alle Tage),4725,0.029826797360458693,0.0352949442952867,0.08315688036817276,0.0006105372601384762,0.0015301328501861307,True,200,B9 SMA200 Breadth Collapse,90,fwd_return,65
B9 SMA200 Breadth Collapse,65,-0.10645733773754189,-0.0825098351826462,0.07807017821615775,Basisrate (alle Tage),4725,-0.0877596444464504,-0.0690773026402556,0.06640312078029578,0.0590541193603293,0.023256980071695015,False,200,B9 SMA200 Breadth Collapse,90,fwd_mdd,65
