label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Breite SMA20 > 50%,3075,0.01573457900861276,0.022912890318524,0.05956852669081625,Breite SMA20 < 50%,1808,0.02674179831186258,0.0330195483367615,0.07712288211438975,1.8919683859400636e-07,1.5556026971637343e-10,True,20,30,fwd_return
Breite SMA20 > 50%,3075,-0.0561117545125182,-0.0427198298369364,0.042083644099209325,Breite SMA20 < 50%,1808,-0.06764222994224521,-0.0520239441223021,0.052472896119044175,2.3950315912775455e-15,1.4936232746221248e-16,True,20,30,fwd_mdd
Breite SMA20 > 50%,3053,0.03397867663702739,0.0417284085347,0.08417087109766472,Breite SMA20 < 50%,1800,0.04965092148636281,0.06263142350801881,0.10598326670728256,9.10360935697726e-08,3.292658895495878e-14,True,20,60,fwd_return
Breite SMA20 > 50%,3053,-0.08376268676958412,-0.0709830344502802,0.05999523509861069,Breite SMA20 < 50%,1800,-0.09453840013484736,-0.0749986265672207,0.06707275461680398,2.0787031438244417e-08,6.087443966723965e-09,True,20,60,fwd_mdd
Breite SMA20 > 50%,3031,0.0539571637819683,0.0639995106857858,0.09988310388565032,Breite SMA20 < 50%,1792,0.06845797963439118,0.08386229636179116,0.13176329023516986,5.840106823611695e-05,1.354304611251365e-11,True,20,90,fwd_return
Breite SMA20 > 50%,3031,-0.10430495639540754,-0.0823284075368304,0.06803299094543785,Breite SMA20 < 50%,1792,-0.11486879797869087,-0.0914115980422949,0.08003980941854037,3.0307893896460348e-06,0.001357221745143775,True,20,90,fwd_mdd
Breite SMA50 > 50%,3249,0.014360585224029918,0.0216096478021328,0.05838661114281312,Breite SMA50 < 50%,1634,0.03064593660125984,0.03944529151176085,0.07993000578637009,3.487144837999206e-13,3.991879447588495e-20,True,50,30,fwd_return
Breite SMA50 > 50%,3249,-0.05549747404088646,-0.0427198298369364,0.04209774763780836,Breite SMA50 < 50%,1634,-0.07009149553410815,-0.0539875432970011,0.05297748060282404,6.763233651837719e-22,4.715963773257156e-22,True,50,30,fwd_mdd
Breite SMA50 > 50%,3222,0.03418129256835991,0.04211327784352985,0.08065415793407757,Breite SMA50 < 50%,1631,0.050874576206647495,0.0635357712176765,0.11310798583593616,1.1583180396484806e-07,2.6004254530291608e-15,True,50,60,fwd_return
Breite SMA50 > 50%,3222,-0.08155787515003095,-0.0707965011539539,0.05704948507859378,Breite SMA50 < 50%,1631,-0.10001050227888769,-0.0771419700832547,0.07160852386903187,2.5811680704713475e-19,4.420904047907261e-18,True,50,60,fwd_mdd
Breite SMA50 > 50%,3206,0.05383695446080293,0.06503345290945745,0.09770262308357187,Breite SMA50 < 50%,1617,0.0702656690950159,0.0853289524613727,0.13777798706477032,1.9192393475473776e-05,4.180842812673234e-12,True,50,90,fwd_return
Breite SMA50 > 50%,3206,-0.10244699097615538,-0.0823284075368304,0.06532210685965774,Breite SMA50 < 50%,1617,-0.11969582915444658,-0.0967556580357236,0.0848278059280374,9.451430895963145e-13,5.5268977308018786e-08,True,50,90,fwd_mdd
Breite SMA200 > 50%,3734,0.018555138206035323,0.02570448648644425,0.056097891925442345,Breite SMA200 < 50%,1149,0.02388869951087544,0.0294621104165531,0.09342979185850483,0.06658356685944766,0.005380946045286319,False,200,30,fwd_return
Breite SMA200 > 50%,3734,-0.052753475919874594,-0.0412896545145897,0.03932109931970874,Breite SMA200 < 50%,1149,-0.08516911903982685,-0.0737291405173959,0.05810534804471717,8.732118159601678e-64,5.204899703574385e-86,True,200,30,fwd_mdd
Breite SMA200 > 50%,3704,0.03837855837010777,0.0463476492695408,0.07619650875594243,Breite SMA200 < 50%,1149,0.04434671735893689,0.0578844881166598,0.1338826981526568,0.14997807484993947,0.00024293433809525732,False,200,60,fwd_return
Breite SMA200 > 50%,3704,-0.07835219613652984,-0.0693866852378028,0.0534675710944721,Breite SMA200 < 50%,1149,-0.11808535114060838,-0.098228283924094,0.07941233185380987,1.4357570355636775e-52,7.783623691672151e-66,True,200,60,fwd_mdd
Breite SMA200 > 50%,3692,0.0589480278261562,0.0695720295333445,0.09089248918305602,Breite SMA200 < 50%,1131,0.06064079946401962,0.0748978789558902,0.16580481428610802,0.7425423512367998,0.02432365546869058,False,200,90,fwd_return
Breite SMA200 > 50%,3692,-0.0981468369697497,-0.0813072785254107,0.06191739334904869,Breite SMA200 < 50%,1131,-0.14114508109635573,-0.1131508296843011,0.09347134454199489,1.0068776282567391e-44,8.94197164203817e-53,True,200,90,fwd_mdd
