label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Breite SMA20 steigend,2295,0.018741268180575667,0.0244459341665386,0.06657014768069337,Breite SMA20 fallend,2587,0.020751987595532484,0.0275974544603603,0.06704004862072546,0.293846432049478,0.2501266411703771,False,20,30,fwd_return
Breite SMA20 steigend,2295,-0.0602459180738605,-0.0445986143659791,0.047659482482662066,Breite SMA20 fallend,2587,-0.06050926677851826,-0.0470732256631859,0.045525785912685704,0.8440023896643232,0.35294299112027017,False,20,30,fwd_mdd
Breite SMA20 steigend,2282,0.03902892073301197,0.04838829222573945,0.09248608123842428,Breite SMA20 fallend,2570,0.04048139222427303,0.047237069342461704,0.09377966709043643,0.5875530931672667,0.7828005360227861,False,20,60,fwd_return
Breite SMA20 steigend,2282,-0.0876050409738058,-0.0723745005252891,0.0634591951190134,Breite SMA20 fallend,2570,-0.0879025869204128,-0.0723745005252891,0.06246558462639183,0.869566723366649,0.7299024922617425,False,20,60,fwd_mdd
Breite SMA20 steigend,2266,0.0584654348259725,0.06905764094505434,0.11142139149993091,Breite SMA20 fallend,2556,0.06011933911019909,0.0712760971575685,0.11439920171651026,0.6114630443708459,0.7537625216336431,False,20,90,fwd_return
Breite SMA20 steigend,2266,-0.10766361624906612,-0.0856345720004281,0.07300278297950615,Breite SMA20 fallend,2556,-0.10874616718674908,-0.0857249835971316,0.07282393472124866,0.6069096199308359,0.4847621133853973,False,20,90,fwd_mdd
Breite SMA50 steigend,2279,0.018593949420260835,0.0256739173914235,0.06624459633808115,Breite SMA50 fallend,2603,0.020868609932881,0.0265775221332504,0.06731500165475668,0.2349108144293059,0.3294030777156348,False,50,30,fwd_return
Breite SMA50 steigend,2279,-0.05955740308995186,-0.0437930956359509,0.047343763867272286,Breite SMA50 fallend,2603,-0.06111046234865013,-0.0474389281323247,0.045814683722119574,0.24576222988929494,0.023628251346909795,False,50,30,fwd_mdd
Breite SMA50 steigend,2268,0.03846129316359167,0.04832621189333195,0.09324349703274637,Breite SMA50 fallend,2584,0.04097173461071559,0.047237069342461704,0.09310153343682456,0.3491296026773122,0.6378674589647284,False,50,60,fwd_return
Breite SMA50 steigend,2268,-0.08730750299142444,-0.0722510625797964,0.06424759006633957,Breite SMA50 fallend,2584,-0.0881621265879006,-0.0728922475311698,0.06175727785666331,0.6378474532334462,0.21417096942112523,False,50,60,fwd_mdd
Breite SMA50 steigend,2251,0.057522416893419366,0.0666945888060788,0.11137421951243894,Breite SMA50 fallend,2571,0.06093533475466182,0.0737971695981429,0.11440407540982321,0.294596719937175,0.12559192852098888,False,50,90,fwd_return
Breite SMA50 steigend,2251,-0.10785053338855463,-0.0857249835971316,0.07313473520962052,Breite SMA50 fallend,2571,-0.10857619879116219,-0.0857249835971316,0.07271105375009886,0.7303526238169679,0.6319835069502955,False,50,90,fwd_mdd
Breite SMA200 steigend,2039,0.018838187307027698,0.0256231757779232,0.06691508884589022,Breite SMA200 fallend,2843,0.020501420494208302,0.0263873020009264,0.06675528764095397,0.39129597922684994,0.8169500669710483,False,200,30,fwd_return
Breite SMA200 steigend,2039,-0.06001677268712014,-0.0444203146710848,0.04722339563494522,Breite SMA200 fallend,2843,-0.06064989645673536,-0.0468153222330756,0.046043902886177816,0.6406516390938723,0.22905181572012545,False,200,30,fwd_mdd
Breite SMA200 steigend,2030,0.03765593176685361,0.04671135213261695,0.09451908065197202,Breite SMA200 fallend,2822,0.04133934572728638,0.04893989156718655,0.09216768642991838,0.17611677035708834,0.29877062918801367,False,200,60,fwd_return
Breite SMA200 steigend,2030,-0.0878692273463733,-0.0722510625797964,0.06468918434588276,Breite SMA200 fallend,2822,-0.0876859746189043,-0.0728922475311698,0.06164236670975691,0.9209306881201057,0.4298395692210889,False,200,60,fwd_mdd
Breite SMA200 steigend,2018,0.05676320296815708,0.06781522583535354,0.11379814510613483,Breite SMA200 fallend,2804,0.061198132129665336,0.07193548302631911,0.11240743248646916,0.17971285324514402,0.2130640817401923,False,200,90,fwd_return
Breite SMA200 steigend,2018,-0.10886727067192561,-0.0856345720004281,0.07453270010746653,Breite SMA200 fallend,2804,-0.10778416745141534,-0.0857249835971316,0.07171625484187501,0.6130844899223479,0.9985694320789544,False,200,90,fwd_mdd
