label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B6 SMA20 verlässt oberes Quartil (75%),193,0.020644752843610868,0.0252614773745898,0.05290559990573569,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.8318709863382655,0.9835983454836457,False,20,75,verlässt oberes Quartil (75%),30,fwd_return,193
B6 SMA20 verlässt oberes Quartil (75%),193,-0.05221065648781476,-0.0428183680147803,0.03481659563759813,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.0018545320584510516,0.11997731871369709,False,20,75,verlässt oberes Quartil (75%),30,fwd_mdd,193
B6 SMA20 verlässt oberes Quartil (75%),193,0.03968623248818162,0.0443746306985388,0.07023742873957993,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.9839459520247255,0.6589696683193118,False,20,75,verlässt oberes Quartil (75%),60,fwd_return,193
B6 SMA20 verlässt oberes Quartil (75%),193,-0.07764379714745662,-0.0702063997418307,0.04964446351653102,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.006568318701931731,0.08335459242301836,False,20,75,verlässt oberes Quartil (75%),60,fwd_mdd,193
B6 SMA20 verlässt oberes Quartil (75%),192,0.057266386547257325,0.06811776553583129,0.08734171450751681,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.7498084037551165,0.5233297078203543,False,20,75,verlässt oberes Quartil (75%),90,fwd_return,193
B6 SMA20 verlässt oberes Quartil (75%),192,-0.09900180615316356,-0.0823284075368304,0.05766409630706382,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.03265454205247631,0.33460130897403273,False,20,75,verlässt oberes Quartil (75%),90,fwd_mdd,193
B6 SMA20 fällt unter 50%,242,0.016471058108938695,0.02079402813487825,0.058931665066826434,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.39350644911377525,0.3720179688544608,False,20,50,fällt unter 50%,30,fwd_return,243
B6 SMA20 fällt unter 50%,242,-0.05841224870102475,-0.0462864195885174,0.04070073816337136,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.4664665465270945,0.941650313724509,False,20,50,fällt unter 50%,30,fwd_mdd,243
B6 SMA20 fällt unter 50%,238,0.04409864704874512,0.045034660666852,0.07699832857972665,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.40526286742169687,0.736496854503671,False,20,50,fällt unter 50%,60,fwd_return,243
B6 SMA20 fällt unter 50%,238,-0.07918516974816833,-0.0693866852378028,0.04888997755907149,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.009766958242961761,0.157450628424317,False,20,50,fällt unter 50%,60,fwd_mdd,243
