label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 verlässt unteres Quartil (25%),65,0.023783932541543158,0.0306041390447113,0.10416088790024097,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.7600269520585303,0.19261253354522745,False,20,25,verlässt unteres Quartil (25%),30,fwd_return,65
B7 SMA20 verlässt unteres Quartil (25%),65,-0.09134199199040607,-0.0747753571540389,0.07099984024816502,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.0008324806046778778,7.261435661252249e-05,True,20,25,verlässt unteres Quartil (25%),30,fwd_mdd,65
B7 SMA20 verlässt unteres Quartil (25%),65,0.05077689036441195,0.0797327734543751,0.14928485210871606,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.556094538727333,0.05725959220655678,False,20,25,verlässt unteres Quartil (25%),60,fwd_return,65
B7 SMA20 verlässt unteres Quartil (25%),65,-0.12632058479440478,-0.1042815120941258,0.0935410723825426,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.0015107494712223175,0.0004718661628340175,True,20,25,verlässt unteres Quartil (25%),60,fwd_mdd,65
B7 SMA20 verlässt unteres Quartil (25%),65,0.06199347741892811,0.0902363084628454,0.19126031466910406,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.9116594599000595,0.1656477407925412,False,20,25,verlässt unteres Quartil (25%),90,fwd_return,65
B7 SMA20 verlässt unteres Quartil (25%),65,-0.14840078098406995,-0.1131508296843011,0.10840269434860124,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.004071907550575995,0.0047900299855423495,True,20,25,verlässt unteres Quartil (25%),90,fwd_mdd,65
B7 SMA20 steigt über 50%,51,0.027743527107908093,0.031907031683964,0.08749872078312795,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.5214938758400243,0.2213403496115608,False,20,50,steigt über 50%,30,fwd_return,51
B7 SMA20 steigt über 50%,51,-0.09107178641049753,-0.0794974736221498,0.062377019558254636,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.000970200767388692,1.5170584154559838e-05,True,20,50,steigt über 50%,30,fwd_mdd,51
B7 SMA20 steigt über 50%,51,0.024156627026895586,0.040009667309607,0.15864224143411662,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.48557071073378344,0.8474828232597993,False,20,50,steigt über 50%,60,fwd_return,51
B7 SMA20 steigt über 50%,51,-0.1370526048873654,-0.1131508296843011,0.0999826394109409,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.000943430444110251,3.9282762522779355e-05,True,20,50,steigt über 50%,60,fwd_mdd,51
