label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Thrust,853,0.01732003636349962,0.0242489613173739,0.06573795601771708,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.3087675429088159,0.5694112665306708,False,20,B9 SMA20 Breadth Thrust,30,fwd_return,853
B9 SMA20 Breadth Thrust,853,-0.057820833304865496,-0.0428183680147803,0.048787640971012715,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.154805134093117,0.002577024437914585,False,20,B9 SMA20 Breadth Thrust,30,fwd_mdd,853
B9 SMA20 Breadth Thrust,853,0.04061231520839218,0.0450120127118343,0.08529117814079894,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.7983595993103514,0.8983791696270963,False,20,B9 SMA20 Breadth Thrust,60,fwd_return,853
B9 SMA20 Breadth Thrust,853,-0.08297023252564734,-0.0687782434586975,0.06026730911146077,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.03369463450191701,0.010255849898727316,True,20,B9 SMA20 Breadth Thrust,60,fwd_mdd,853
B9 SMA20 Breadth Thrust,848,0.05944996544772789,0.07186244317112485,0.10513041223852623,Basisrate (alle Tage),4823,0.05934498505659857,0.0702157658728594,0.11298940281655907,0.9788540161939636,0.7683757997373398,False,20,B9 SMA20 Breadth Thrust,90,fwd_return,853
B9 SMA20 Breadth Thrust,848,-0.10153130485984323,-0.0813072785254107,0.06751230024027981,Basisrate (alle Tage),4823,-0.1082299831665549,-0.0857249835971316,0.07289675585052154,0.008591333644880362,0.011722401089878324,True,20,B9 SMA20 Breadth Thrust,90,fwd_mdd,853
B9 SMA20 Breadth Collapse,660,0.025585275890651595,0.03885427998211835,0.0764480419027873,Basisrate (alle Tage),4883,0.019810158058433707,0.0261621603927804,0.06681383918901332,0.06501457319782927,2.5297969482097997e-05,False,20,B9 SMA20 Breadth Collapse,30,fwd_return,660
B9 SMA20 Breadth Collapse,660,-0.06819835461053023,-0.0503192891001271,0.05553495271117546,Basisrate (alle Tage),4883,-0.060381076563910056,-0.0459646913989528,0.046532646937043884,0.0005775402054469083,0.0013799167533667179,True,20,B9 SMA20 Breadth Collapse,30,fwd_mdd,660
B9 SMA20 Breadth Collapse,659,0.05118538897240125,0.0683562914811746,0.10273032719103589,Basisrate (alle Tage),4853,0.03979158426711265,0.0478049639093904,0.09315829657086175,0.007070172286797812,2.436997290827266e-07,True,20,B9 SMA20 Breadth Collapse,60,fwd_return,660
B9 SMA20 Breadth Collapse,659,-0.09232181421005735,-0.07408395737203,0.06972610361813111,Basisrate (alle Tage),4853,-0.08775944837219567,-0.0723745005252891,0.06292243984678302,0.111348030682496,0.33444524706991796,False,20,B9 SMA20 Breadth Collapse,60,fwd_mdd,660
