label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,828,0.004543467821349169,0.00989991110156635,0.0653079367759604,Gelb,1798,0.011927128122075399,0.0170924900968998,0.06872258243519504,0.008183553897581288,0.0022829983339739904,True,Grün vs. Gelb,30,fwd_return
Grün,828,-0.05698293942749027,-0.0471814889481431,0.048413190734679507,Gelb,1798,-0.06340417318146016,-0.0519058677908441,0.04459097102287321,0.0012371159280757636,2.310879777684865e-06,True,Grün vs. Gelb,30,fwd_mdd
Grün,812,0.010029381886184496,0.0193415060032772,0.09332437930966783,Gelb,1784,0.020791639920579773,0.02490331122650365,0.09401009117043237,0.00664176294027875,0.002491066889242569,True,Grün vs. Gelb,60,fwd_return
Grün,812,-0.08726747688378422,-0.0733542922272778,0.06942921743806608,Gelb,1784,-0.09411169001777481,-0.0819689436087629,0.060289157711513885,0.015488195629744968,2.2512943354488446e-08,True,Grün vs. Gelb,60,fwd_mdd
Grün,795,0.008907605790666602,0.0199815939821736,0.11077653200911652,Gelb,1772,0.03256898846647758,0.03358129956435345,0.11007842380509232,5.971492027639562e-07,6.070267524031079e-06,True,Grün vs. Gelb,90,fwd_return
Grün,795,-0.1156572822503827,-0.0909137783890714,0.08736602866769767,Gelb,1772,-0.11496230890878006,-0.0912143870951704,0.06865250925896087,0.8427048509011431,0.0014964043115074765,False,Grün vs. Gelb,90,fwd_mdd
Gelb,1798,0.011927128122075399,0.0170924900968998,0.06872258243519504,Rot,562,0.02275631047394699,0.026502314117455,0.08084271662366059,0.004233631676930577,0.0016581037518444669,True,Gelb vs. Rot,30,fwd_return
Gelb,1798,-0.06340417318146016,-0.0519058677908441,0.04459097102287321,Rot,562,-0.07712954551381815,-0.0649797388266298,0.052185489299690885,2.51803513030029e-08,8.736886019472815e-09,True,Gelb vs. Rot,30,fwd_mdd
Gelb,1784,0.020791639920579773,0.02490331122650365,0.09401009117043237,Rot,562,0.048816784064807585,0.04839613419226025,0.10108948835561095,7.923925403408943e-09,1.6555756326731723e-07,True,Gelb vs. Rot,60,fwd_return
Gelb,1784,-0.09411169001777481,-0.0819689436087629,0.060289157711513885,Rot,562,-0.10583805107979181,-0.0884449909690555,0.055065145379053604,1.862180354050873e-05,2.7239130730075367e-08,True,Gelb vs. Rot,60,fwd_mdd
Gelb,1772,0.03256898846647758,0.03358129956435345,0.11007842380509232,Rot,561,0.06975118785681272,0.0611607773919342,0.1275751366596455,8.32155996183635e-10,1.6112919501461078e-08,True,Gelb vs. Rot,90,fwd_return
Gelb,1772,-0.11496230890878006,-0.0912143870951704,0.06865250925896087,Rot,561,-0.12246489686026771,-0.100968756228435,0.056632207248010276,0.009659188349402303,0.00010850250978833377,True,Gelb vs. Rot,90,fwd_mdd
Grün,828,0.004543467821349169,0.00989991110156635,0.0653079367759604,Rot,562,0.02275631047394699,0.026502314117455,0.08084271662366059,9.692066917150786e-06,1.135933451551433e-06,True,Grün vs. Rot,30,fwd_return
Grün,828,-0.05698293942749027,-0.0471814889481431,0.048413190734679507,Rot,562,-0.07712954551381815,-0.0649797388266298,0.052185489299690885,6.582386620381486e-13,1.990692116243914e-17,True,Grün vs. Rot,30,fwd_mdd
Grün,812,0.010029381886184496,0.0193415060032772,0.09332437930966783,Rot,562,0.048816784064807585,0.04839613419226025,0.10108948835561095,9.876321159710848e-13,1.1539902696982067e-11,True,Grün vs. Rot,60,fwd_return
Grün,812,-0.08726747688378422,-0.0733542922272778,0.06942921743806608,Rot,562,-0.10583805107979181,-0.0884449909690555,0.055065145379053604,4.138154424758401e-08,3.5820163538230577e-19,True,Grün vs. Rot,60,fwd_mdd
Grün,795,0.008907605790666602,0.0199815939821736,0.11077653200911652,Rot,561,0.06975118785681272,0.0611607773919342,0.1275751366596455,3.318746970261397e-19,2.230696736014192e-16,True,Grün vs. Rot,90,fwd_return
Grün,795,-0.1156572822503827,-0.0909137783890714,0.08736602866769767,Rot,561,-0.12246489686026771,-0.100968756228435,0.056632207248010276,0.08219691988276326,1.7280242811784982e-08,False,Grün vs. Rot,90,fwd_mdd
