label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B6 SMA20 verlässt oberes Quartil (75%),70,0.009861360667459478,0.01817135525462315,0.052758315136848456,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.7498447073500183,0.83490644317106,False,20,75,verlässt oberes Quartil (75%),30,fwd_return,70
B6 SMA20 verlässt oberes Quartil (75%),70,-0.056517465344307925,-0.0483931696071027,0.029736767928284606,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.039786909240733616,0.46590189798001935,False,20,75,verlässt oberes Quartil (75%),30,fwd_mdd,70
B6 SMA20 verlässt oberes Quartil (75%),70,0.02678739656764254,0.02751659833474615,0.07945266992539628,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.6967013058246623,0.9348456892861564,False,20,75,verlässt oberes Quartil (75%),60,fwd_return,70
B6 SMA20 verlässt oberes Quartil (75%),70,-0.07538562701283406,-0.07287161688548599,0.035291185428624375,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,3.761721981973259e-05,0.02319346432933031,True,20,75,verlässt oberes Quartil (75%),60,fwd_mdd,70
B6 SMA20 verlässt oberes Quartil (75%),67,0.023039432815820396,0.0291324798029488,0.10980298048688517,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.45555763329036353,0.5139821165465835,False,20,75,verlässt oberes Quartil (75%),90,fwd_return,70
B6 SMA20 verlässt oberes Quartil (75%),67,-0.10408477948589163,-0.0920199962408828,0.05850470475025919,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.0921695581167386,0.46031726834066455,False,20,75,verlässt oberes Quartil (75%),90,fwd_mdd,70
B6 SMA20 fällt unter 50%,163,0.006634173479892766,0.0148701663945243,0.07297188800730872,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.3675907563759206,0.5426466617595278,False,20,50,fällt unter 50%,30,fwd_return,166
B6 SMA20 fällt unter 50%,163,-0.06430622572710847,-0.0519058677908441,0.05598925799943246,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.9732030467536699,0.9685838243767262,False,20,50,fällt unter 50%,30,fwd_mdd,166
B6 SMA20 fällt unter 50%,161,0.015720391297218,0.0241817580330179,0.09480486999650083,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.34272881922386556,0.5241271151476757,False,20,50,fällt unter 50%,60,fwd_return,166
B6 SMA20 fällt unter 50%,161,-0.09468806347283933,-0.0817103547668511,0.0696919822542845,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.9645525871108251,0.9091053731882487,False,20,50,fällt unter 50%,60,fwd_mdd,166
