label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 verlässt unteres Quartil (25%),61,0.019134356910820723,0.0232481869656873,0.07981099389724702,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.48596733880131154,0.42353843151607606,False,20,25,verlässt unteres Quartil (25%),30,fwd_return,61
B7 SMA20 verlässt unteres Quartil (25%),61,-0.08180058368658728,-0.0782736076959252,0.04879638855926486,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.006819039259188088,0.0029600139828622656,True,20,25,verlässt unteres Quartil (25%),30,fwd_mdd,61
B7 SMA20 verlässt unteres Quartil (25%),61,0.04563607637187033,0.038630150568705,0.09489453678443396,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.06993855137272771,0.13577103456464434,False,20,25,verlässt unteres Quartil (25%),60,fwd_return,61
B7 SMA20 verlässt unteres Quartil (25%),61,-0.10709500211383463,-0.0925646088758235,0.046097959164857955,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.03896992851589188,0.0030603579513491714,True,20,25,verlässt unteres Quartil (25%),60,fwd_mdd,61
B7 SMA20 verlässt unteres Quartil (25%),61,0.052786650034940936,0.0544008279696999,0.13425813499430392,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.26287093649587795,0.26371184362467537,False,20,25,verlässt unteres Quartil (25%),90,fwd_return,61
B7 SMA20 verlässt unteres Quartil (25%),61,-0.1240452365127355,-0.1175556105012762,0.05221384643752203,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.2708943040240664,0.06752224759029547,False,20,25,verlässt unteres Quartil (25%),90,fwd_mdd,61
B7 SMA20 steigt über 50%,56,0.017900517755804167,0.019193356405971147,0.07816825667216164,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.5718452929078699,0.5212675718804675,False,20,50,steigt über 50%,30,fwd_return,56
B7 SMA20 steigt über 50%,56,-0.07114355584737872,-0.0539555036821074,0.04586542925017498,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.2634097399983928,0.24410860637725273,False,20,50,steigt über 50%,30,fwd_mdd,56
B7 SMA20 steigt über 50%,56,0.031216455372901852,0.0396069116736137,0.09131184562162825,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.5081453658739307,0.32932737517791355,False,20,50,steigt über 50%,60,fwd_return,56
B7 SMA20 steigt über 50%,56,-0.10491609232559533,-0.0835190132771683,0.05574433401486906,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.16951179213214188,0.15015811096999204,False,20,50,steigt über 50%,60,fwd_mdd,56
