label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße,n_bestätigt,n_nicht_bestätigt
"20-Tage-Hoch, Breite bestätigt",749,0.00704606286609968,0.0138029843076024,0.04756354716728336,"20-Tage-Hoch, Breite nicht bestätigt",306,0.012828118029559306,0.019714654200524498,0.039886731883066184,0.04411768636058516,0.16718105238092362,False,20,30,fwd_return,752,306
"20-Tage-Hoch, Breite bestätigt",749,-0.04423269441845536,-0.0325925347959453,0.040212462941785466,"20-Tage-Hoch, Breite nicht bestätigt",306,-0.039562738532473406,-0.029792535494218,0.03149437152869155,0.04485308616044223,0.6317997996371827,False,20,30,fwd_mdd,752,306
"20-Tage-Hoch, Breite bestätigt",743,0.016160868424000528,0.0311904870754984,0.07034286926587295,"20-Tage-Hoch, Breite nicht bestätigt",304,0.023826607539521056,0.031883965969168704,0.05394290650729136,0.05747160937354518,0.4043620542221251,False,20,60,fwd_return,752,306
"20-Tage-Hoch, Breite bestätigt",743,-0.06888525151508983,-0.0521253759010486,0.059541203329715145,"20-Tage-Hoch, Breite nicht bestätigt",304,-0.06115380020454414,-0.0494514814987349,0.04833900103790263,0.02882394677530345,0.27130135652953247,False,20,60,fwd_mdd,752,306
"20-Tage-Hoch, Breite bestätigt",736,0.026568136023982346,0.03735174479791865,0.08043501943908202,"20-Tage-Hoch, Breite nicht bestätigt",295,0.03576197885848352,0.0453094975053121,0.06877503148603385,0.06546939072170646,0.14953724042807304,False,20,90,fwd_return,752,306
"20-Tage-Hoch, Breite bestätigt",736,-0.08742921501792277,-0.0683610804467385,0.06853668537524424,"20-Tage-Hoch, Breite nicht bestätigt",295,-0.08380906983837867,-0.0683610804467385,0.061887106016569424,0.4110367601413112,0.7545044180706009,False,20,90,fwd_mdd,752,306
"50-Tage-Hoch, Breite bestätigt",638,0.004880648406913992,0.01066304977630515,0.04262791554041229,"50-Tage-Hoch, Breite nicht bestätigt",187,0.013280231926293667,0.021593397727788,0.04357066426861659,0.02049389594677055,0.0015892723090435439,True,50,30,fwd_return,639,187
"50-Tage-Hoch, Breite bestätigt",638,-0.0425427300348295,-0.0343436674301622,0.03804525014855078,"50-Tage-Hoch, Breite nicht bestätigt",187,-0.03973811144176285,-0.029792535494218,0.036011043514609264,0.3559370918071057,0.46792217828004135,False,50,30,fwd_mdd,639,187
"50-Tage-Hoch, Breite bestätigt",632,0.017288823555668763,0.02945065633242045,0.061526187555349346,"50-Tage-Hoch, Breite nicht bestätigt",185,0.020851005319882557,0.0292061879835443,0.05293542315538794,0.4389814338776915,0.5835882114717323,False,50,60,fwd_return,639,187
"50-Tage-Hoch, Breite bestätigt",632,-0.06397074136496632,-0.0494514814987349,0.05289713735346907,"50-Tage-Hoch, Breite nicht bestätigt",185,-0.06540380002069264,-0.0546442684349435,0.05446621159360433,0.7516234608743589,0.27436308771594675,False,50,60,fwd_mdd,639,187
"50-Tage-Hoch, Breite bestätigt",624,0.024967026936623248,0.035455864227905795,0.07260750604984256,"50-Tage-Hoch, Breite nicht bestätigt",181,0.038204719474727686,0.0479454680170721,0.0628276744042285,0.01664827627127566,0.010505148419909578,True,50,90,fwd_return,639,187
"50-Tage-Hoch, Breite bestätigt",624,-0.08437100388492226,-0.0683610804467385,0.06320806433080672,"50-Tage-Hoch, Breite nicht bestätigt",181,-0.08157313331270981,-0.057612606689676,0.0659075283895583,0.6122454326492346,0.4152937331433668,False,50,90,fwd_mdd,639,187
"200-Tage-Hoch, Breite bestätigt",489,0.004301392771731637,0.009669316393011,0.04146781058699538,"200-Tage-Hoch, Breite nicht bestätigt",132,0.004148610444518376,0.008806061910600248,0.04764699846825477,0.9732571280509377,0.6205701167800252,False,200,30,fwd_return,490,132
"200-Tage-Hoch, Breite bestätigt",489,-0.04122496644712023,-0.0324158537739224,0.03936136305164768,"200-Tage-Hoch, Breite nicht bestätigt",132,-0.043991929189267726,-0.03804451703465305,0.04077485181879828,0.486663815119459,0.23501043515553233,False,200,30,fwd_mdd,490,132
"200-Tage-Hoch, Breite bestätigt",483,0.012255817583177413,0.0250228503180602,0.05981536195149184,"200-Tage-Hoch, Breite nicht bestätigt",130,0.01967541591267054,0.032082684594944996,0.05120555929464232,0.15902465467178853,0.1691438907323961,False,200,60,fwd_return,490,132
"200-Tage-Hoch, Breite bestätigt",483,-0.06455838421140449,-0.0494514814987349,0.057902889824251756,"200-Tage-Hoch, Breite nicht bestätigt",130,-0.06578014515612708,-0.0521253759010486,0.057764063386540374,0.8307957895600612,0.5272224420146848,False,200,60,fwd_mdd,490,132
"200-Tage-Hoch, Breite bestätigt",477,0.02075920442826292,0.0342579424433839,0.06873210894157875,"200-Tage-Hoch, Breite nicht bestätigt",124,0.03329348033094976,0.0453544748321862,0.06071779975224419,0.0477672506665072,0.029159031033177737,True,200,90,fwd_return,490,132
"200-Tage-Hoch, Breite bestätigt",477,-0.08558408881396017,-0.057612606689676,0.07158301770174536,"200-Tage-Hoch, Breite nicht bestätigt",124,-0.08167991021012265,-0.0546442684349435,0.06703368766359265,0.5695804126261128,0.7495895180586132,False,200,90,fwd_mdd,490,132
