label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Thrust,806,0.00926854586876715,0.02020544496638585,0.056594070634645846,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.23202252667304818,0.7446864677350092,False,20,B9 SMA20 Breadth Thrust,30,fwd_return,806
B9 SMA20 Breadth Thrust,806,-0.0514973520770237,-0.0364936913863365,0.04908249021716904,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.9013396594349317,0.11576375869973293,False,20,B9 SMA20 Breadth Thrust,30,fwd_mdd,806
B9 SMA20 Breadth Thrust,806,0.0204021573557262,0.0339940721898045,0.07997060139223049,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.2763433490884208,0.6730165238190551,False,20,B9 SMA20 Breadth Thrust,60,fwd_return,806
B9 SMA20 Breadth Thrust,806,-0.07533202635335262,-0.0559572235491679,0.06539722860052263,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.9070984659986243,0.10087045001104027,False,20,B9 SMA20 Breadth Thrust,60,fwd_mdd,806
B9 SMA20 Breadth Thrust,800,0.03259093041117055,0.04066461613879465,0.08965070296873648,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.43941846489694314,0.21794702044900882,False,20,B9 SMA20 Breadth Thrust,90,fwd_return,806
B9 SMA20 Breadth Thrust,800,-0.0924492066505625,-0.0714406632163116,0.07381973303240666,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.7000911451892079,0.34265728826692743,False,20,B9 SMA20 Breadth Thrust,90,fwd_mdd,806
B9 SMA20 Breadth Collapse,666,0.0208768819100208,0.02914306483923195,0.06168028080932041,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.00035564434762169137,2.6202153310534456e-08,True,20,B9 SMA20 Breadth Collapse,30,fwd_return,666
B9 SMA20 Breadth Collapse,666,-0.059290512923577204,-0.0441392484981405,0.05294063242400933,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.00021021932138917348,3.0619252189440416e-06,True,20,B9 SMA20 Breadth Collapse,30,fwd_mdd,666
B9 SMA20 Breadth Collapse,666,0.03443904883115766,0.04190681899303845,0.07726101825485146,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.0007821287883064964,0.0003991942993901033,True,20,B9 SMA20 Breadth Collapse,60,fwd_return,666
B9 SMA20 Breadth Collapse,666,-0.0808222755754564,-0.0598573994690785,0.06130209969354847,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.04059496190869024,0.0028607420209310116,True,20,B9 SMA20 Breadth Collapse,60,fwd_mdd,666
