label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Kurs > SMA20,3093,0.006989679929954627,0.014095175311086283,0.04633687291664922,Kurs < SMA20,1796,0.016211967094042583,0.02396561910420869,0.06294678863343776,6.617564588550174e-08,6.73200811918892e-16,True,20,30,fwd_return
Kurs > SMA20,3093,-0.044330334784843925,-0.034812280450599586,0.03706648822067949,Kurs < SMA20,1796,-0.0574465262428283,-0.0421882846185212,0.052628389032341474,2.5659013513885107e-20,3.861436848190354e-17,True,20,30,fwd_mdd
Kurs > SMA20,3064,0.015199812241248388,0.024282230970348206,0.06670274342532255,Kurs < SMA20,1795,0.029336692831697663,0.036062947859987426,0.0779560417413776,1.484533829049638e-10,1.0284165121531779e-11,True,20,60,fwd_return
Kurs > SMA20,3064,-0.06799222243010797,-0.05205723618044589,0.055692923784730904,Kurs < SMA20,1795,-0.08075423728751789,-0.06615517171871399,0.06244149579140193,1.0439864697952496e-12,6.38159367307311e-16,True,20,60,fwd_mdd
Kurs > SMA20,3035,0.025448217452146066,0.03159420468503593,0.07740297787401919,Kurs < SMA20,1794,0.037582251817484535,0.045448714930812706,0.09756389335828484,7.136363381933021e-06,1.6670206971985893e-11,True,20,90,fwd_return
Kurs > SMA20,3035,-0.08531286356300867,-0.06870606493911646,0.06481091727381952,Kurs < SMA20,1794,-0.09701893641304692,-0.07262381808006124,0.07371840824455461,2.7105409596887834e-08,2.828602860159043e-06,True,20,90,fwd_mdd
Kurs > SMA100,3381,0.006979935579163417,0.014604293299547155,0.04446021918709397,Kurs < SMA100,1428,0.017272288945527084,0.02892349805288641,0.06957224156847219,2.681579679513818e-07,5.834714852727098e-20,True,100,30,fwd_return
Kurs > SMA100,3381,-0.04257116060194995,-0.034647704721024075,0.03532816446146289,Kurs < SMA100,1428,-0.06591682896013809,-0.04671404446894706,0.05671562157022724,8.15529884098276e-45,9.07520310497214e-48,True,100,30,fwd_mdd
Kurs > SMA100,3351,0.01730881505131683,0.023266351062454893,0.058994391707908475,Kurs < SMA100,1428,0.02558087628984588,0.045420779004450074,0.09456353455201527,0.0022330109314475477,2.7395737479157736e-14,True,100,60,fwd_return
Kurs > SMA100,3351,-0.0640592843362055,-0.05205723618044589,0.04921798151480953,Kurs < SMA100,1428,-0.09473507645702652,-0.07516218818714726,0.07259647513433026,5.70868031929095e-46,1.2231228436576651e-46,True,100,60,fwd_mdd
Kurs > SMA100,3321,0.027248936833665877,0.03191276269958099,0.07001370627627895,Kurs < SMA100,1428,0.03450111660748293,0.05647810336791825,0.11498600642974045,0.026985876999218807,7.403592322292386e-11,True,100,90,fwd_return
Kurs > SMA100,3321,-0.08011008186432295,-0.06832512495667586,0.0585160292807218,Kurs < SMA100,1428,-0.11338591403753054,-0.08250983518264621,0.08404240592659311,1.8893489930269707e-40,1.9966336136682875e-36,True,100,90,fwd_mdd
Kurs > SMA200,3566,0.009005202046728713,0.015962682236303816,0.04322732321374337,Kurs < SMA200,1143,0.014280167775976464,0.025801660138178306,0.07716727846421424,0.027765360169512993,3.1021128248625423e-08,True,200,30,fwd_return
Kurs > SMA200,3566,-0.0413555751427463,-0.032960236529294584,0.03526844865567424,Kurs < SMA200,1143,-0.0746002012561546,-0.05675470748271838,0.05851737713566622,1.5473518576146329e-66,7.086384449854358e-100,True,200,30,fwd_mdd
Kurs > SMA200,3536,0.018730068085032456,0.025361784151758715,0.05749967903947976,Kurs < SMA200,1143,0.025416040371435474,0.05050971567684659,0.10491266987005267,0.03987386525303508,2.8672397287996154e-12,True,200,60,fwd_return
Kurs > SMA200,3536,-0.06252541453143261,-0.04995748745787987,0.049168023789262584,Kurs < SMA200,1143,-0.1053364320583041,-0.08250983518264621,0.07494559352293925,3.076546466937781e-66,5.962123944404663e-98,True,200,60,fwd_mdd
Kurs > SMA200,3506,0.02997043115329085,0.03407752350953708,0.06591266346593573,Kurs < SMA200,1143,0.03311745514805479,0.0631648598369916,0.1299237990683621,0.43167156966728865,3.6977501458793965e-09,False,200,90,fwd_return
Kurs > SMA200,3506,-0.07793402565009351,-0.06615517171871399,0.05771817554629326,Kurs < SMA200,1143,-0.12582032966780793,-0.09273349484443993,0.08770349371911298,4.452241028762041e-61,1.5244785068444258e-80,True,200,90,fwd_mdd
