label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,zeitbasis,sma_kurz,sma_lang,n_golden_events,n_death_events,horizont_tage,zielgröße
Golden Cross SMA20/100 (d),34,0.006659080560591077,0.010941322150298416,0.04329600208212019,Death Cross SMA20/100 (d),34,0.024862698117268295,0.027879547459237042,0.045436245046894676,0.0955199018081507,0.08049149221962616,False,d,20,100,34,34,30,fwd_return
Golden Cross SMA20/100 (d),34,-0.0443194792201647,-0.03833131722097749,0.0336129854328195,Death Cross SMA20/100 (d),34,-0.04863143433751228,-0.03807661459928402,0.04943093851064975,0.6755888070787748,0.9364514700367399,False,d,20,100,34,34,30,fwd_mdd
Golden Cross SMA20/100 (d),34,0.01750619415008472,0.02025540749918875,0.05871064997614045,Death Cross SMA20/100 (d),34,0.03747103751930608,0.04904301180406012,0.06309096601585287,0.18140069147709395,0.07633274037635718,False,d,20,100,34,34,60,fwd_return
Golden Cross SMA20/100 (d),34,-0.06521644619506191,-0.049750104909103754,0.04299134118512898,Death Cross SMA20/100 (d),34,-0.07532356484249723,-0.05899587783040294,0.05532147030784317,0.40347585261240493,0.5315636521413238,False,d,20,100,34,34,60,fwd_mdd
Golden Cross SMA20/100 (d),33,0.02774594986410118,0.031981975008012586,0.06752852623420402,Death Cross SMA20/100 (d),34,0.048539803186087714,0.06698233970052225,0.09143430374363079,0.2928777609226594,0.06995435858001026,False,d,20,100,34,34,90,fwd_return
Golden Cross SMA20/100 (d),33,-0.0787538846539022,-0.07262381808006124,0.04323105133739163,Death Cross SMA20/100 (d),34,-0.09115782739878069,-0.0721664253132202,0.0672764894273091,0.37169930397257156,0.7970618766225284,False,d,20,100,34,34,90,fwd_mdd
Golden Cross SMA20/200 (d),14,0.020802055575049636,0.0255867680075772,0.04176132026630531,Death Cross SMA20/200 (d),14,0.004854537000286866,0.005796348804487539,0.051585034035024756,0.3772324332107031,0.3232138110799865,False,d,20,200,14,14,30,fwd_return
Golden Cross SMA20/200 (d),14,-0.03904104241572807,-0.031254597549385976,0.028425398226694418,Death Cross SMA20/200 (d),14,-0.08053530291742692,-0.07443433789969672,0.050747272889470556,0.014569082420496126,0.015825568708643108,True,d,20,200,14,14,30,fwd_mdd
Golden Cross SMA20/200 (d),14,0.03766881687398462,0.059036082643370125,0.06421161609121775,Death Cross SMA20/200 (d),14,0.04545179287697051,0.037840418090760886,0.06605521314813607,0.7544398347016449,0.9450520886884962,False,d,20,200,14,14,60,fwd_return
Golden Cross SMA20/200 (d),14,-0.05368421665052873,-0.043046302587631036,0.035491838341010204,Death Cross SMA20/200 (d),14,-0.09003422172024414,-0.08768509218631576,0.047687030125229124,0.031237751332565324,0.045579007296449106,True,d,20,200,14,14,60,fwd_mdd
Golden Cross SMA20/200 (d),13,0.06558708525281091,0.07091667031779414,0.06008717382782826,Death Cross SMA20/200 (d),14,0.0667754749971297,0.07977083603275603,0.08640854158396029,0.9670713298131317,0.6799932443507429,False,d,20,200,14,14,90,fwd_return
Golden Cross SMA20/200 (d),13,-0.06324242783887,-0.052830186642835786,0.035889392012396465,Death Cross SMA20/200 (d),14,-0.09584605606287079,-0.09752429782833572,0.05160028326345837,0.06761544063870699,0.10392354241821598,False,d,20,200,14,14,90,fwd_mdd
