hypothese,zielgröße,getestete_kombinationen,anteil_signifikant
H1_Kurs_vs_SMA,fwd_return,9,0.8888888888888888
H1_Kurs_vs_SMA,fwd_mdd,9,1.0
H2_SMA_Richtung,fwd_return,9,0.3333333333333333
H2_SMA_Richtung,fwd_mdd,9,1.0
H3_CrossOver,fwd_return,6,0.0
H3_CrossOver,fwd_mdd,6,0.3333333333333333
H4_Divergenz,fwd_return,3,0.0
H4_Divergenz,fwd_mdd,3,0.0
H5_Drawdown_vom_Hoch,fwd_return,3,1.0
H5_Drawdown_vom_Hoch,fwd_mdd,3,1.0
H6_Momentum_RSI,fwd_return,3,1.0
H6_Momentum_RSI,fwd_mdd,3,0.6666666666666666
