label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Kurs > SMA20,3189,0.016728231724741104,0.022989248453079147,0.05932355885641655,Kurs < SMA20,1697,0.025021264856628624,0.03273338261909853,0.07941810257214935,0.00016194949593479696,9.986476847826757e-08,True,20,30,fwd_return
Kurs > SMA20,3189,-0.055654619541687,-0.04271982983693645,0.04200069507580707,Kurs < SMA20,1697,-0.07091995505484604,-0.05421119468804836,0.05498168324025274,4.0899373232237653e-23,1.4921450664208398e-24,True,20,30,fwd_mdd
Kurs > SMA20,3171,0.03447051787512391,0.04200860364344128,0.08371005004549904,Kurs < SMA20,1685,0.04935735881675804,0.06300843964297109,0.10827341751151041,9.308334691452748e-07,3.8503408130978405e-14,True,20,60,fwd_return
Kurs > SMA20,3171,-0.08297890185447704,-0.0709830344502802,0.058361459697752506,Kurs < SMA20,1685,-0.09833754149598431,-0.07598600044315917,0.07104642665792119,3.589033839891537e-14,3.517999609640671e-13,True,20,60,fwd_mdd
Kurs > SMA20,3141,0.05376406225219387,0.06357146678717984,0.09991392380364864,Kurs < SMA20,1685,0.06969279369264236,0.08651627184100219,0.13496494239490883,2.125065064523759e-05,3.455958752037213e-14,True,20,90,fwd_return
Kurs > SMA20,3141,-0.10390787767677756,-0.08232840753683046,0.06634461726393995,Kurs < SMA20,1685,-0.11782775774421338,-0.0941345014900905,0.08381383834907336,4.118267105954098e-09,7.851235820543562e-05,True,20,90,fwd_mdd
Kurs > SMA100,3602,0.01646293855286941,0.023242451532027975,0.057539450051333964,Kurs < SMA100,1204,0.028295496186195854,0.03728608732207517,0.09052497978155685,2.1956975749589987e-05,1.849712241237631e-11,True,100,30,fwd_return
Kurs > SMA100,3602,-0.054522268497226196,-0.04271982983693645,0.03955762862574403,Kurs < SMA100,1204,-0.08204129534301756,-0.06877824345869754,0.06179313114512544,1.0118555746341179e-44,3.6987953757068073e-48,True,100,30,fwd_mdd
Kurs > SMA100,3572,0.03506878912951983,0.04275074695191028,0.07881844947565987,Kurs < SMA100,1204,0.05157762497681515,0.06940622012050168,0.12774418568038254,2.5696205517971703e-05,3.9511441827181546e-16,True,100,60,fwd_return
Kurs > SMA100,3572,-0.08077343394623264,-0.0709830344502802,0.053544201283327895,Kurs < SMA100,1204,-0.11349304019199273,-0.09260423895444708,0.08237025173002734,3.158319900868598e-36,3.8444158126839484e-34,True,100,60,fwd_mdd
Kurs > SMA100,3543,0.05422603773915252,0.06586187668351573,0.0985545092647351,Kurs < SMA100,1203,0.0725649078526675,0.08692713698906629,0.15100021062804714,8.604122378881465e-05,1.4928699325205099e-12,True,100,90,fwd_return
Kurs > SMA100,3543,-0.10146469269023274,-0.08232840753683046,0.06459955305360239,Kurs < SMA100,1203,-0.13259155859146393,-0.11311876175570656,0.09145598279337079,7.991112993647015e-27,8.057262600958052e-26,True,100,90,fwd_mdd
Kurs > SMA200,3741,0.018141267931091297,0.02439551127905637,0.05710589507661768,Kurs < SMA200,965,0.023314232293322173,0.03326194941840632,0.09836739794213616,0.11740904585501573,0.00022722939031529513,False,200,30,fwd_return
Kurs > SMA200,3741,-0.05404375316612926,-0.04265863234758227,0.039367794278358945,Kurs < SMA200,965,-0.09021525119601463,-0.07477535715403894,0.06442903760522453,5.356024254654962e-56,1.1824272503156671e-72,True,200,30,fwd_mdd
Kurs > SMA200,3711,0.038521338055061076,0.045012012711834304,0.07903846469840871,Kurs < SMA200,965,0.041488528953814593,0.05912592868958644,0.1387616857085894,0.5236690322711723,0.0005296516560059959,False,200,60,fwd_return
Kurs > SMA200,3711,-0.07940111872161207,-0.06938668523780289,0.05310170104613631,Kurs < SMA200,965,-0.12469803050238423,-0.10428151209412584,0.08686046355421824,3.447056006458126e-49,1.3969676117824236e-60,True,200,60,fwd_mdd
Kurs > SMA200,3681,0.059588843256745495,0.06892312140714507,0.09485301277182004,Kurs < SMA200,965,0.06058333278547893,0.07963466938283381,0.16937138439391497,0.8608487932319331,0.00472040391517382,False,200,90,fwd_return
Kurs > SMA200,3681,-0.09883565096787487,-0.08130727852541075,0.062401648420074486,Kurs < SMA200,965,-0.14637202066182373,-0.11315082968430112,0.09847857651930832,1.0955751491260737e-42,6.719465132425227e-52,True,200,90,fwd_mdd
