label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
Kurs > SMA20,2904,0.006940100084743979,0.010820947348962773,0.06655157561877806,Kurs < SMA20,1985,0.0170626896788796,0.024758622208637115,0.08580289690892655,9.953816283216311e-06,1.3663404611007663e-11,True,20,30,fwd_return
Kurs > SMA20,2904,-0.06486789854529473,-0.051582100148146126,0.046820817118377926,Kurs < SMA20,1985,-0.07733596107517755,-0.057371452591085115,0.06365546162395255,1.1241390132546967e-13,8.931565391398709e-08,True,20,30,fwd_mdd
Kurs > SMA20,2878,0.014759822017267929,0.024987376603804234,0.09899425584679973,Kurs < SMA20,1981,0.03190334721061583,0.033499776378841606,0.10858264756573789,2.229312511954349e-08,3.094990887023966e-07,True,20,60,fwd_return
Kurs > SMA20,2878,-0.09756800252331968,-0.08358290837867188,0.0702877433140819,Kurs < SMA20,1981,-0.10838321071935372,-0.08669234839444773,0.07560553363846614,4.82186666065562e-07,2.8264254856365764e-08,True,20,60,fwd_mdd
Kurs > SMA20,2851,0.024358700334760647,0.0296443896052494,0.12217952419387515,Kurs < SMA20,1978,0.04317398775535243,0.048036869856428965,0.13115882110083812,4.841359429601742e-07,2.7405400782439176e-08,True,20,90,fwd_return
Kurs > SMA20,2851,-0.12175949164928926,-0.09571340616199675,0.08392718155598636,Kurs < SMA20,1978,-0.1300087060418344,-0.10180398254598622,0.08513720933336126,0.0008745580807216933,0.00015417422656714323,True,20,90,fwd_mdd
Kurs > SMA100,3127,0.006527902857811452,0.012247440433940993,0.06620734238988611,Kurs < SMA100,1682,0.0191090934788529,0.026140795409484663,0.09011338700779671,4.947705610036949e-07,1.1712129924837335e-11,True,100,30,fwd_return
Kurs > SMA100,3127,-0.06258016573044999,-0.051313647688595365,0.04606374667983908,Kurs < SMA100,1682,-0.08493785189769065,-0.06562095195192086,0.06589036695043059,2.954936200233676e-34,3.3514827292768127e-28,True,100,30,fwd_mdd
Kurs > SMA100,3097,0.016347219006256648,0.023971543933434702,0.09860643357155569,Kurs < SMA100,1682,0.032026791769364994,0.039414246778436746,0.11263055619332063,1.6827473004565286e-06,6.93429568296459e-08,True,100,60,fwd_return
Kurs > SMA100,3097,-0.09302919923921969,-0.08171035476685118,0.06757489749055282,Kurs < SMA100,1682,-0.12027370091097421,-0.10467205873879393,0.07912044113360775,3.3436449370281433e-32,8.392654063930393e-41,True,100,60,fwd_mdd
Kurs > SMA100,3067,0.025637593318209594,0.03547903292532828,0.12136527473955779,Kurs < SMA100,1682,0.045400735593095674,0.047615681887820394,0.1360073108818135,6.984585003030021e-07,1.9978012059815497e-07,True,100,90,fwd_return
Kurs > SMA100,3067,-0.11645054106092985,-0.09256460887582352,0.08252436100231057,Kurs < SMA100,1682,-0.14236093086916987,-0.11879264841791826,0.08703594496162675,3.5098113380574124e-23,6.588798697404536e-37,True,100,90,fwd_mdd
Kurs > SMA200,3146,0.008930929745814276,0.015138702648157087,0.0670024357696633,Kurs < SMA200,1563,0.016791526278306643,0.02153149259397602,0.0910082916383193,0.002463874440771509,0.0001029781906445889,True,200,30,fwd_return
Kurs > SMA200,3146,-0.06134587185785216,-0.049107941135509536,0.04700051829382841,Kurs < SMA200,1563,-0.08843490463117161,-0.07151616901556235,0.06526889747778777,1.6982323961128843e-46,2.301984933147674e-49,True,200,30,fwd_mdd
Kurs > SMA200,3116,0.016933479001538486,0.026132321756880517,0.09910109844871964,Kurs < SMA200,1563,0.035338081264465415,0.041975989119728885,0.11369145289474952,5.608195041783341e-08,1.0675206939727636e-09,True,200,60,fwd_return
Kurs > SMA200,3116,-0.09187556255760249,-0.07424093181365377,0.06936221182158002,Kurs < SMA200,1563,-0.12333473106920638,-0.10467205873879393,0.07745849022177945,1.2421423754571218e-40,5.8055338776377824e-67,True,200,60,fwd_mdd
Kurs > SMA200,3086,0.028558790014280418,0.039822922136233285,0.11594298448351262,Kurs < SMA200,1563,0.04726959287237203,0.04861906858281939,0.1463245148202807,1.108542066910191e-05,9.399129506444687e-08,True,200,90,fwd_return
Kurs > SMA200,3086,-0.11477736525272433,-0.09121438709517049,0.0815708096358555,Kurs < SMA200,1563,-0.1454608786860518,-0.11845315441050652,0.09001624929255843,4.027276528671599e-29,1.6127726590398093e-46,True,200,90,fwd_mdd
