label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,zeitbasis,sma_kurz,sma_lang,n_golden_events,n_death_events,horizont_tage,zielgröße
Golden Cross SMA20/100 (d),37,-0.0034967939200688616,0.01554456299670437,0.07059070099832701,Death Cross SMA20/100 (d),37,0.011865535047261982,0.029632948844177776,0.09159955155785401,0.421899284955125,0.24737175385637566,False,d,20,100,37,37,30,fwd_return
Golden Cross SMA20/100 (d),37,-0.07082406914541683,-0.056470558669229676,0.0491073167524866,Death Cross SMA20/100 (d),37,-0.07702192389388735,-0.05161057408819825,0.07715714436365585,0.6816312468691973,0.7579913916162794,False,d,20,100,37,37,30,fwd_mdd
Golden Cross SMA20/100 (d),37,-0.0005581872004112219,0.010720795403457828,0.0987668273285313,Death Cross SMA20/100 (d),37,0.017916165534800355,0.026334572497278108,0.10276194690812077,0.433038035959916,0.38711296398748773,False,d,20,100,37,37,60,fwd_return
Golden Cross SMA20/100 (d),37,-0.10330357955636126,-0.08171035476685118,0.07745420834768703,Death Cross SMA20/100 (d),37,-0.11618033774095501,-0.08171035476685118,0.09316673739016207,0.5200912818186648,0.665399225452906,False,d,20,100,37,37,60,fwd_mdd
Golden Cross SMA20/100 (d),36,0.0010711474149598511,0.024228709761826894,0.1214485194943717,Death Cross SMA20/100 (d),37,0.026553195390920433,0.026612653994462887,0.1264463805186332,0.3827699588622462,0.3126932059917792,False,d,20,100,37,37,90,fwd_return
Golden Cross SMA20/100 (d),36,-0.13190279307872188,-0.10224195615174692,0.09455740900121258,Death Cross SMA20/100 (d),37,-0.13738298466969753,-0.10096875622843504,0.10236006819297681,0.8128011276965366,0.9955973148899022,False,d,20,100,37,37,90,fwd_mdd
Golden Cross SMA20/200 (d),22,0.008119707324264813,0.02090035533337764,0.05568476979322049,Death Cross SMA20/200 (d),22,-0.0014122292398682538,0.028100368310168267,0.08840317331898372,0.6713018492051873,0.8787357510373759,False,d,20,200,22,22,30,fwd_return
Golden Cross SMA20/200 (d),22,-0.06239446545675084,-0.06137569242466984,0.03216940008944047,Death Cross SMA20/200 (d),22,-0.08492451108675164,-0.0641180117632108,0.08235049356272116,0.2422734353513678,0.5891420146858455,False,d,20,200,22,22,30,fwd_mdd
Golden Cross SMA20/200 (d),22,0.0314447705704981,0.04246569496833019,0.10004480353129785,Death Cross SMA20/200 (d),22,0.04229357633352225,0.07524883285380723,0.10913623879545978,0.7328014936620211,0.3915825877510204,False,d,20,200,22,22,60,fwd_return
Golden Cross SMA20/200 (d),22,-0.08852863104066384,-0.07564260224766656,0.07499205405696413,Death Cross SMA20/200 (d),22,-0.1136611761617511,-0.08293867833132978,0.09495595589069357,0.33580784575538924,0.3849098842237533,False,d,20,200,22,22,60,fwd_mdd
Golden Cross SMA20/200 (d),22,0.021222573877509313,0.04885486516417714,0.15604879977885938,Death Cross SMA20/200 (d),22,0.05724505511135435,0.08208767581944121,0.12763950828133833,0.40690891006582175,0.4596715909585638,False,d,20,200,22,22,90,fwd_return
Golden Cross SMA20/200 (d),22,-0.11867507622296575,-0.08695862400990373,0.11016660926596877,Death Cross SMA20/200 (d),22,-0.11912208612173188,-0.08470772015711858,0.09376167663217302,0.9885068543723913,0.9906313693673069,False,d,20,200,22,22,90,fwd_mdd
Golden Cross SMA100/200 (d),15,0.005241650359740409,0.02810907702987797,0.08679730339575757,Death Cross SMA100/200 (d),15,0.023412536847678418,0.007667979317927509,0.10785153843034614,0.615373869845373,0.5897385933186072,False,d,100,200,15,15,30,fwd_return
Golden Cross SMA100/200 (d),15,-0.07018040924666309,-0.048093718760396476,0.07898055414130037,Death Cross SMA100/200 (d),15,-0.08032633936520754,-0.07406794076374934,0.07603711799273535,0.7227206927089962,0.5614474146848649,False,d,100,200,15,15,30,fwd_mdd
Golden Cross SMA100/200 (d),15,0.002522161313063102,0.04180566773545591,0.17187530721267275,Death Cross SMA100/200 (d),15,0.06195096572001095,0.026663773188228435,0.1262089410326148,0.29043864746916676,0.48073111045562256,False,d,100,200,15,15,60,fwd_return
Golden Cross SMA100/200 (d),15,-0.12471936860202124,-0.08543343185723129,0.12451303554504815,Death Cross SMA100/200 (d),15,-0.10241638691979832,-0.08070295435946484,0.07502056824378936,0.5581742340458331,0.9338864180775845,False,d,100,200,15,15,60,fwd_mdd
Golden Cross SMA100/200 (d),15,0.037307610288326236,0.021729982156686756,0.17927422109228044,Death Cross SMA100/200 (d),15,0.06359475406134527,0.053217661243733394,0.17996506699993067,0.6916151015017757,0.7400217511938185,False,d,100,200,15,15,90,fwd_return
Golden Cross SMA100/200 (d),15,-0.1409374682813474,-0.08669234839444773,0.13025766413057693,Death Cross SMA100/200 (d),15,-0.13073719731531339,-0.1103630657060315,0.07662300939820324,0.7961362656445152,0.755709307865404,False,d,100,200,15,15,90,fwd_mdd
