label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,2760,0.011765834411194522,0.017978877927588677,0.04321595429413129,Gelb,1393,0.012782665831430196,0.02080057289695003,0.051479282030439825,0.526690126727707,0.05596813967114678,False,Grün vs. Gelb,30,fwd_return
Grün,2760,-0.040498431219587225,-0.03074848771789984,0.03632964683230824,Gelb,1393,-0.05250708186850797,-0.04221799507147117,0.03861464903471419,1.1146269795944379e-21,2.684729793221038e-29,True,Grün vs. Gelb,30,fwd_mdd
Grün,2730,0.02463297229510765,0.03432568363087285,0.05842238830294683,Gelb,1393,0.024615258848489557,0.03396281540792523,0.06719836609287316,0.9933322487462717,0.9886009141179615,False,Grün vs. Gelb,60,fwd_return
Grün,2730,-0.06142629953666151,-0.04631891618912609,0.051570637166151685,Gelb,1393,-0.07630850573639447,-0.06413206473259525,0.04482251644854103,2.0043234330844207e-21,1.1637615927150406e-43,True,Grün vs. Gelb,60,fwd_mdd
Grün,2700,0.040088633371280734,0.050816634951640904,0.06679260764349151,Gelb,1393,0.03260249159920217,0.03725203526926979,0.07953240332134294,0.0026553405868048937,7.874981593417011e-05,True,Grün vs. Gelb,90,fwd_return
Grün,2700,-0.0773199062035124,-0.05755593615479104,0.061270296084501755,Gelb,1393,-0.09389173161989536,-0.08127938918465272,0.04749159628346282,2.3049060638883276e-21,6.637381988083902e-55,True,Grün vs. Gelb,90,fwd_mdd
Gelb,1393,0.012782665831430196,0.02080057289695003,0.051479282030439825,Rot,752,0.010666887721094174,0.018544189767062513,0.09348237827690876,0.5651881973997978,0.15927857820547364,False,Gelb vs. Rot,30,fwd_return
Gelb,1393,-0.05250708186850797,-0.04221799507147117,0.03861464903471419,Rot,752,-0.08840605110599914,-0.06478757856839223,0.06677591105849065,1.0612955154420067e-38,3.3565103837671033e-46,True,Gelb vs. Rot,30,fwd_mdd
Gelb,1393,0.024615258848489557,0.03396281540792523,0.06719836609287316,Rot,752,0.01884395699284035,0.040692611508945986,0.1304254861172375,0.2567173131925926,0.10290604493064363,False,Gelb vs. Rot,60,fwd_return
Gelb,1393,-0.07630850573639447,-0.06413206473259525,0.04482251644854103,Rot,752,-0.12567080576489673,-0.09221644427557973,0.0915689606300798,3.5924196065781708e-40,2.8369520985394253e-40,True,Gelb vs. Rot,60,fwd_mdd
Gelb,1393,0.03260249159920217,0.03725203526926979,0.07953240332134294,Rot,752,0.02389154870195937,0.04590539391722426,0.16787743468806277,0.17932577521172627,0.036896710534392994,False,Gelb vs. Rot,90,fwd_return
Gelb,1393,-0.09389173161989536,-0.08127938918465272,0.04749159628346282,Rot,752,-0.15075376710708197,-0.09837437474216237,0.1101733934364714,6.192855856758713e-38,4.904232377383887e-26,True,Gelb vs. Rot,90,fwd_mdd
Grün,2760,0.011765834411194522,0.017978877927588677,0.04321595429413129,Rot,752,0.010666887721094174,0.018544189767062513,0.09348237827690876,0.7540726356252256,0.05211376534765946,False,Grün vs. Rot,30,fwd_return
Grün,2760,-0.040498431219587225,-0.03074848771789984,0.03632964683230824,Rot,752,-0.08840605110599914,-0.06478757856839223,0.06677591105849065,3.139700596184591e-67,1.9695950794466333e-128,True,Grün vs. Rot,30,fwd_mdd
Grün,2730,0.02463297229510765,0.03432568363087285,0.05842238830294683,Rot,752,0.01884395699284035,0.040692611508945986,0.1304254861172375,0.23640716227453812,0.019862349456330475,False,Grün vs. Rot,60,fwd_return
Grün,2730,-0.06142629953666151,-0.04631891618912609,0.051570637166151685,Rot,752,-0.12567080576489673,-0.09221644427557973,0.0915689606300798,1.4124218755156378e-64,1.2446658211885066e-118,True,Grün vs. Rot,60,fwd_mdd
Grün,2700,0.040088633371280734,0.050816634951640904,0.06679260764349151,Rot,752,0.02389154870195937,0.04590539391722426,0.16787743468806277,0.009787586286639931,0.26761542273183325,False,Grün vs. Rot,90,fwd_return
Grün,2700,-0.0773199062035124,-0.05755593615479104,0.061270296084501755,Rot,752,-0.15075376710708197,-0.09837437474216237,0.1101733934364714,2.5353440289480953e-59,1.3126731127312648e-94,True,Grün vs. Rot,90,fwd_mdd
