label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße
SMA20 steigend,3192,0.009555511205636061,0.01672835285373475,0.048112628680525786,SMA20 fallend,1693,0.01648983382385727,0.024534776385656265,0.06853541812302444,0.00021432145616584022,1.1369491338706008e-08,True,20,30,fwd_return
SMA20 steigend,3192,-0.0450354452543614,-0.035141303570489835,0.038520563319651376,SMA20 fallend,1693,-0.06311256151371161,-0.04682934377363013,0.056062986629386115,1.1989954722646528e-31,1.235881827444831e-33,True,20,30,fwd_mdd
SMA20 steigend,3174,0.020105094454276943,0.03263154466957774,0.06831653124991699,SMA20 fallend,1681,0.030567084193214373,0.04112335547998125,0.08952158607660972,2.8923082852339922e-05,1.1348896716100041e-08,True,20,60,fwd_return
SMA20 steigend,3174,-0.06900865996242883,-0.05464426843494352,0.05652076849436369,SMA20 fallend,1681,-0.08821546278470199,-0.07138321230788436,0.07002687345052787,6.764085235840408e-22,2.4745914529658056e-24,True,20,60,fwd_mdd
SMA20 steigend,3144,0.032580694858815144,0.04323047734536134,0.07911798407831333,SMA20 fallend,1681,0.040374613368614996,0.05561448054245233,0.11552184691515342,0.013450593340945284,1.4671571691200416e-08,True,20,90,fwd_return
SMA20 steigend,3144,-0.08683920038017172,-0.0683610804467385,0.06530659402940174,SMA20 fallend,1681,-0.1063218341856103,-0.08127938918465272,0.08350480438736117,1.5490159783279472e-16,3.882519992772784e-12,True,20,90,fwd_mdd
SMA100 steigend,3517,0.012254082573807947,0.018225406938230604,0.044196733767753085,SMA100 fallend,1288,0.010392274221175262,0.020868444893693217,0.08092621257466108,0.43318259895389194,0.03484664611993778,False,100,30,fwd_return
SMA100 steigend,3517,-0.04235532870045193,-0.03303682007397768,0.03599467455715827,SMA100 fallend,1288,-0.0771034095631845,-0.05690345646957773,0.06016680029934133,3.0848052262072674e-76,6.031590920894513e-104,True,100,30,fwd_mdd
SMA100 steigend,3487,0.025460925717719473,0.03396992037162838,0.05936579930680893,SMA100 fallend,1288,0.018364822814180216,0.0383571893837793,0.11110487792996285,0.029399385323737228,0.23431232905996313,False,100,60,fwd_return
SMA100 steigend,3487,-0.06364861714686051,-0.05110085404168474,0.0493870440360255,SMA100 fallend,1288,-0.10999280483194472,-0.08746473820388112,0.07958127352507584,7.893546880564844e-77,3.6258715321850674e-107,True,100,60,fwd_mdd
SMA100 steigend,3459,0.037363820547437365,0.047188101985165876,0.0722955008115737,SMA100 fallend,1286,0.030109271218781,0.05189387361383091,0.13637483375244966,0.0696896395900067,0.2596043790367014,False,100,90,fwd_return
SMA100 steigend,3459,-0.08043046815863843,-0.06122556998296669,0.059643561658173305,SMA100 fallend,1286,-0.1305148941419486,-0.09837437474216237,0.09166085098923793,7.1646603831910855e-68,7.018813388014775e-97,True,100,90,fwd_mdd
SMA200 steigend,3649,0.012142477491356803,0.018610690600910917,0.045495991790178894,SMA200 fallend,1056,0.012074701225824422,0.020716835001615586,0.08428049124739961,0.9799825603932389,0.012786006077154176,False,200,30,fwd_return
SMA200 steigend,3649,-0.0439169713921339,-0.033688232734763734,0.038203365138510935,SMA200 fallend,1056,-0.0778796531542543,-0.05690345646957773,0.06169830811082416,1.7020913613103393e-58,7.914241132971239e-95,True,200,30,fwd_mdd
SMA200 steigend,3619,0.024040816136688185,0.03455041255117375,0.0624466116622846,SMA200 fallend,1056,0.025124257358904,0.041219253438786074,0.1145828142092109,0.7682259096091741,0.000824941238574059,False,200,60,fwd_return
SMA200 steigend,3619,-0.06608338361495839,-0.05083328699126488,0.05159776257633542,SMA200 fallend,1056,-0.10939331808905833,-0.0775163583620283,0.08411986477017014,4.962702367438063e-52,2.9270561470657e-81,True,200,60,fwd_mdd
SMA200 steigend,3589,0.038649780404637804,0.0497289801143046,0.07145865477282622,SMA200 fallend,1056,0.03135630796337368,0.048098920592920646,0.1469368456791798,0.11910510958969435,0.12336230553594928,False,200,90,fwd_return
SMA200 steigend,3589,-0.08223407514811719,-0.06413206473259525,0.05973906571871191,SMA200 fallend,1056,-0.13190562146613333,-0.09189447297766995,0.0997662437591044,3.609342076936597e-49,9.589955909491171e-70,True,200,90,fwd_mdd
