label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,zeitbasis,sma_kurz,sma_lang,n_golden_events,n_death_events,horizont_tage,zielgröße
Golden Cross SMA20/100 (d),25,0.006299498363000566,0.02118380921987062,0.05864870961892166,Death Cross SMA20/100 (d),25,0.020387464492452725,0.024063290073371713,0.048194640194994,0.3582584506263167,0.33197546708273695,False,d,20,100,25,25,30,fwd_return
Golden Cross SMA20/100 (d),25,-0.05228500530467773,-0.04052404767701079,0.04213169597588529,Death Cross SMA20/100 (d),25,-0.061008711123263455,-0.04621489902682585,0.04762420495003644,0.49607487366319175,0.36178043378617764,False,d,20,100,25,25,30,fwd_mdd
Golden Cross SMA20/100 (d),25,0.022539932809609274,0.033352804024566085,0.0705560226102083,Death Cross SMA20/100 (d),25,0.0365236137737614,0.05927873768081393,0.067962169772947,0.4788656601145078,0.4376816780828031,False,d,20,100,25,25,60,fwd_return
Golden Cross SMA20/100 (d),25,-0.07080760318695041,-0.049451481498734906,0.04834591215692684,Death Cross SMA20/100 (d),25,-0.08773045556957922,-0.0775163583620283,0.052990184671024815,0.24401696373154033,0.17744620264950228,False,d,20,100,25,25,60,fwd_mdd
Golden Cross SMA20/100 (d),24,0.03966382110643626,0.051535451167565194,0.09628238368097004,Death Cross SMA20/100 (d),25,0.0449013828363781,0.0784333716789487,0.1052222444785825,0.856450152845465,0.6671956411909153,False,d,20,100,25,25,90,fwd_return
Golden Cross SMA20/100 (d),24,-0.08262022792766562,-0.07380197328883764,0.05180906109997393,Death Cross SMA20/100 (d),25,-0.10537116447499736,-0.08494777840575307,0.07694344176028312,0.22982619732691792,0.3574868915042041,False,d,20,100,25,25,90,fwd_mdd
Golden Cross SMA20/200 (d),11,0.019410673286713843,0.03728872378394166,0.05131590451384348,Death Cross SMA20/200 (d),11,0.024530226208335833,-0.003031317816420742,0.08303256665881704,0.8639972633363443,0.6457638203049723,False,d,20,200,11,11,30,fwd_return
Golden Cross SMA20/200 (d),11,-0.04447682540506583,-0.024624249398764175,0.03648039448187654,Death Cross SMA20/200 (d),11,-0.08148495720805801,-0.08296394546823738,0.03602989905171678,0.02659131324819725,0.04178899680298453,True,d,20,200,11,11,30,fwd_mdd
Golden Cross SMA20/200 (d),11,0.027562287227189907,0.04869931749927625,0.07957338055765399,Death Cross SMA20/200 (d),11,0.03886647734965109,0.014066275816996487,0.1205687345129644,0.7982856165199794,0.6935883744907081,False,d,20,200,11,11,60,fwd_return
Golden Cross SMA20/200 (d),11,-0.06676516322394212,-0.04547443585842015,0.04557448066761257,Death Cross SMA20/200 (d),11,-0.11588266824379767,-0.11994078912359896,0.04088578989875431,0.015108050049197514,0.016509640695560285,True,d,20,200,11,11,60,fwd_mdd
Golden Cross SMA20/200 (d),10,0.06609170365850112,0.06230094165195865,0.07268537856476238,Death Cross SMA20/200 (d),11,0.06377545687480991,0.03686043821755458,0.13650314020087984,0.9614381092755346,0.7513343125576336,False,d,20,200,11,11,90,fwd_return
Golden Cross SMA20/200 (d),10,-0.08268964683637231,-0.0742048641305117,0.044808950711782695,Death Cross SMA20/200 (d),11,-0.12329599289721119,-0.11994078912359896,0.04994480137646387,0.06435671630082822,0.07254925722048405,False,d,20,200,11,11,90,fwd_mdd
