label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,fenster_tage,horizont_tage,zielgröße,anteil_divergenz
Divergenz 10d,1749,0.01317236823568229,0.0182588479928529,0.05412988492100868,Konvergenz 10d,3097,0.011023880930847055,0.0183167930890795,0.057097790794853484,0.1934019137212332,0.7856175749467167,False,Total,10,30,fwd_return,0.3592153657539845
Divergenz 10d,1749,-0.05004938865586843,-0.0391128073829235,0.04333854902375053,Konvergenz 10d,3097,-0.05211293680633975,-0.0390382202572884,0.04750600754586233,0.12438196867789321,0.44890669197726574,False,Total,10,30,fwd_mdd,0.3592153657539845
Divergenz 10d,1740,0.02350677107266753,0.03514743185258125,0.07796304014347838,Konvergenz 10d,3077,0.023717372683773295,0.0344048920540231,0.0758059332637688,0.9275302530343873,0.8701930080001281,False,Total,10,60,fwd_return,0.3592153657539845
Divergenz 10d,1740,-0.07431494359900703,-0.0562159838711667,0.06097663423874695,Konvergenz 10d,3077,-0.07647167677895184,-0.05729189932131,0.06294035188436754,0.24389491065846144,0.2759391138141988,False,Total,10,60,fwd_mdd,0.3592153657539845
Divergenz 10d,1729,0.036223760969774775,0.0473239787513304,0.09436579948371361,Konvergenz 10d,3058,0.03480596349528853,0.04748879837377745,0.09304940285638416,0.6158090388579287,0.7392067565186675,False,Total,10,90,fwd_return,0.3592153657539845
Divergenz 10d,1729,-0.09277372183259895,-0.0712444360287855,0.07334790214823947,Konvergenz 10d,3058,-0.0938958255422769,-0.0727652266488336,0.07244784155090442,0.6096048417024772,0.29964755658767306,False,Total,10,90,fwd_mdd,0.3592153657539845
Divergenz 10d,1721,0.013141142168238121,0.0187849452711141,0.05510654509551732,Konvergenz 10d,3125,0.010963247373909314,0.0181353644205584,0.056694299032708916,0.19260486049892375,0.4337800425903462,False,Equity,10,30,fwd_return,0.3536984062116878
Divergenz 10d,1721,-0.049657606712405294,-0.038691888037876,0.04379152943195638,Konvergenz 10d,3125,-0.05236784414175885,-0.0394420642813511,0.04752298817880947,0.045609354630796455,0.15749453708045946,False,Equity,10,30,fwd_mdd,0.3536984062116878
Divergenz 10d,1711,0.023371460853986788,0.0340670493636126,0.07787759682738217,Konvergenz 10d,3106,0.023722579039330165,0.03509221305920445,0.07588971383270875,0.8798957038351898,0.49674006684061134,False,Equity,10,60,fwd_return,0.3536984062116878
Divergenz 10d,1711,-0.07440762834466322,-0.0562159838711667,0.061526500901001535,Konvergenz 10d,3106,-0.07644381865018131,-0.0569034564695777,0.06282840808809274,0.27535181548524545,0.36929808823190047,False,Equity,10,60,fwd_mdd,0.3536984062116878
Divergenz 10d,1703,0.03680726068369722,0.0470828304287374,0.09265600727871252,Konvergenz 10d,3084,0.03440552475443439,0.0479254042995498,0.09398350498706684,0.39304434314147796,0.7029225656662792,False,Equity,10,90,fwd_return,0.3536984062116878
Divergenz 10d,1703,-0.09212220297823752,-0.0712444360287855,0.07218913635698644,Konvergenz 10d,3084,-0.09434692957173492,-0.0727652266488336,0.0732201722807572,0.3098848735773723,0.3159978412473302,False,Equity,10,90,fwd_mdd,0.3536984062116878
Divergenz 10d,2250,0.01261696190354663,0.01832588133377875,0.05456089954246057,Konvergenz 10d,2600,0.011009806008682108,0.0182494157564757,0.057549805829154796,0.318664149729627,0.9231280582677179,False,Index,10,30,fwd_return,0.46158561503882306
