label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße
Total-PCR oberstes Dezil (Angst),489,0.026151734754882788,0.0371014943149023,0.06966460308368584,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,1.0142144043513247e-05,9.899125336936378e-13,True,Total,30,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.06595840078126637,-0.0559572235491679,0.05982218950760036,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,2.5135301456160816e-07,1.7187930291861637e-11,True,Total,30,fwd_mdd
Total-PCR oberstes Dezil (Angst),489,0.044598205493801744,0.0527640036684899,0.08341157804781962,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,1.4196885932221516e-07,1.0083221595322963e-11,True,Total,60,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.08870393015236058,-0.0712444360287855,0.07008826899591615,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,8.473493416395959e-05,7.643515082944383e-09,True,Total,60,fwd_mdd
Total-PCR oberstes Dezil (Angst),489,0.054563300898072306,0.0685845134550267,0.11251028085637645,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.0002917893515359524,7.564355055719363e-08,True,Total,90,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.10318724434221993,-0.0874647382038811,0.0753522592991064,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.0064098857851813806,2.5880954984620963e-05,True,Total,90,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.033981846632140794,0.036023173046243,0.05067443603081534,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,6.066339132582849e-19,1.6579114840747745e-17,True,Equity,30,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.051063805883296454,-0.0441392484981405,0.037032484991572925,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.8458965817182872,0.01893130833656639,False,Equity,30,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.05824904343428483,0.0592787376808139,0.06176910145534269,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,4.452110494979691e-28,3.875384130723066e-23,True,Equity,60,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.06918646063742458,-0.057555936154791,0.0438850456238684,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.0030282468556447058,0.6954216936178464,False,Equity,60,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.09062027631257795,0.087165362836562,0.06708580857193822,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,1.2928325266653486e-52,1.511195450495434e-41,True,Equity,90,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.07408600988166088,-0.057612606689676,0.047201260127958826,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,1.7283315880963449e-15,8.93426448468896e-07,True,Equity,90,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.0031424240742770485,0.0008783131184613,0.05293766446834698,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,7.485293696128446e-09,2.8821826102460776e-10,True,Index,30,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.05802891340278638,-0.0498498198514072,0.03817106178160647,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.00037218421806156605,1.8488418777238942e-10,True,Index,30,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.0036912382734388253,0.0026661728578984,0.06248046829411176,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,2.12586167290648e-18,5.4783070118506275e-21,True,Index,60,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.08730287106392952,-0.0942514287897088,0.04273026523475812,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,6.394116910888558e-08,8.58834698179242e-23,True,Index,60,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.018480908100608127,-0.0135295022010588,0.07649663709895506,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,1.7421345741181733e-41,2.1083727373236738e-52,True,Index,90,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.11169172571035722,-0.1009040994457135,0.04951288017520622,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,4.2375800044018187e-13,3.350486890523595e-37,True,Index,90,fwd_mdd
