label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße
Total-PCR steigend,2456,0.013296111564880633,0.01954086651592145,0.05594493320669793,Total-PCR fallend,2399,0.010155221498892435,0.0174752337398873,0.056363478882358126,0.05142205668193413,0.047069575646067875,False,Total,30,fwd_return
Total-PCR steigend,2456,-0.051621466165023035,-0.0397747538403665,0.04557828518500542,Total-PCR fallend,2399,-0.05117144781918696,-0.036949965254826,0.04686991969369277,0.734575554133806,0.11206948996284054,False,Total,30,fwd_mdd
Total-PCR steigend,2436,0.02485954194826827,0.03496925875325445,0.07487819762646894,Total-PCR fallend,2390,0.022381618937090533,0.03443744803300325,0.07830177169301501,0.2614067420125525,0.3397464056236277,False,Total,60,fwd_return
Total-PCR steigend,2436,-0.07552318161625585,-0.05729189932131,0.0607277533093911,Total-PCR fallend,2390,-0.0758789902146256,-0.0562159838711667,0.06392985977614636,0.842926097250451,0.27995137573036843,False,Total,60,fwd_mdd
Total-PCR steigend,2426,0.03687260981974148,0.0479898352718697,0.09350554234707142,Total-PCR fallend,2370,0.033752200483402085,0.046932696550738354,0.09345707064197954,0.24783650831505796,0.2399116635310634,False,Total,90,fwd_return
Total-PCR steigend,2426,-0.0934188318155145,-0.0720073499468654,0.07237667239162796,Total-PCR fallend,2370,-0.0935932777505043,-0.0720073499468654,0.07326174637737608,0.9339039279625239,0.9950818468543818,False,Total,90,fwd_mdd
Equity-PCR steigend,2421,0.013309587145418581,0.0196510203570956,0.056029557391595944,Equity-PCR fallend,2434,0.010186982703422923,0.0175055174394801,0.056274300673844486,0.052755745968917564,0.01665720473088544,False,Equity,30,fwd_return
Equity-PCR steigend,2421,-0.05182767913378021,-0.0394420642813511,0.04601987800589172,Equity-PCR fallend,2434,-0.05097280732812006,-0.038756789747388,0.046417400651672006,0.5193538930580427,0.15627906879167772,False,Equity,30,fwd_mdd
Equity-PCR steigend,2400,0.02386991897018785,0.03396502101012075,0.07505941012322054,Equity-PCR fallend,2426,0.023397406396198278,0.035151711475066294,0.07809895294012345,0.8303226632048629,0.9744577942353484,False,Equity,60,fwd_return
Equity-PCR steigend,2400,-0.0759938713634168,-0.0572917683821003,0.06135881416661225,Equity-PCR fallend,2426,-0.07540806502801078,-0.0562159838711667,0.06328329502679027,0.7440728806589251,0.19998357627925023,False,Equity,60,fwd_mdd
Equity-PCR steigend,2393,0.03457903213906626,0.0469212010352009,0.09466175709953176,Equity-PCR fallend,2403,0.03607908558450695,0.047846126639734,0.09231158653083138,0.5785472259464948,0.983559167718124,False,Equity,90,fwd_return
Equity-PCR steigend,2393,-0.09469928601730987,-0.0720073499468654,0.07350850675903954,Equity-PCR fallend,2403,-0.09231575647678351,-0.0714406632163116,0.0720989698650876,0.25703381426516797,0.3546121799827564,False,Equity,90,fwd_mdd
Index-PCR steigend,2417,0.01092671787301374,0.0174376615031748,0.05657749560337205,Index-PCR fallend,2438,0.012554450073878412,0.019132289951637252,0.055759470140251254,0.31276375006766954,0.1913646026063327,False,Index,30,fwd_return
Index-PCR steigend,2417,-0.05159434418916713,-0.0397747538403665,0.045562927663342336,Index-PCR fallend,2438,-0.051205534993564054,-0.037567936165468455,0.04686460959535331,0.7694617247281738,0.13966431771952084,False,Index,30,fwd_mdd
Index-PCR steigend,2403,0.023895015855916125,0.0350111213767247,0.07608296671200222,Index-PCR fallend,2423,0.023371931631804132,0.0345245399232296,0.07711402402236796,0.8125121709151805,0.7145596062731365,False,Index,60,fwd_return
Index-PCR steigend,2403,-0.07556309488475545,-0.0562159838711667,0.06251985043367671,Index-PCR fallend,2423,-0.07583456047135251,-0.0569034564695777,0.06214955214632517,0.879773245434438,0.917169216539424,False,Index,60,fwd_mdd
Index-PCR steigend,2385,0.036254045363463175,0.047846126639734,0.09385080314845591,Index-PCR fallend,2411,0.03441715818187312,0.0470532704887345,0.09313191847210649,0.49634592002255673,0.44345713949351506,False,Index,90,fwd_return
Index-PCR steigend,2385,-0.09303788132173535,-0.0713832123078843,0.07344513511707293,Index-PCR fallend,2411,-0.0939671535880525,-0.0727652266488336,0.0721841520775589,0.6586059685329835,0.3904919953698076,False,Index,90,fwd_mdd
