label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße,n_bestätigt
Total Close-bestätigtes Hoch,208,0.018862803666526137,0.023890739500216647,0.06164586058417121,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.09937595495047234,0.03931456309146304,False,Total,30,fwd_return,208
Total Close-bestätigtes Hoch,208,-0.05609182331838637,-0.0421314293064349,0.051296192797012724,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.19735331557095692,0.15973317360947803,False,Total,30,fwd_mdd,208
Total Close-bestätigtes Hoch,208,0.03010950781301584,0.039202359978363896,0.07668215582296188,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.23606228894601755,0.3147484570219111,False,Total,60,fwd_return,208
Total Close-bestätigtes Hoch,208,-0.08173568815275487,-0.0712444360287855,0.060718179847508214,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.1597300349466317,0.04456531438440518,False,Total,60,fwd_mdd,208
Total Close-bestätigtes Hoch,208,0.03486096230388134,0.04262779304967995,0.10750785490294308,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.9458389645208217,0.9739867352567577,False,Total,90,fwd_return,208
Total Close-bestätigtes Hoch,208,-0.1039075142591356,-0.0860646760480337,0.07764074494508938,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.05743470407394701,0.03475598894575578,False,Total,90,fwd_mdd,208
Equity Close-bestätigtes Hoch,265,0.02571913020596155,0.0318303004647058,0.05902759276139045,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.00018760619244299963,3.985219066497449e-06,True,Equity,30,fwd_return,265
Equity Close-bestätigtes Hoch,265,-0.05047743633399669,-0.0394420642813511,0.044876784414375995,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.7413924738727955,0.8805561277895948,False,Equity,30,fwd_mdd,265
Equity Close-bestätigtes Hoch,265,0.040884240792361234,0.0458234589634856,0.07301854302892867,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.00022965983032976914,0.0006302708687294336,True,Equity,60,fwd_return,265
Equity Close-bestätigtes Hoch,265,-0.07093217929002017,-0.0559572235491679,0.05619837751022704,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.1855918645063619,0.18534306117067367,False,Equity,60,fwd_mdd,265
Equity Close-bestätigtes Hoch,265,0.06290692705940405,0.0633526194431539,0.08226593034522947,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,2.676118380911406e-07,5.70095484284818e-06,True,Equity,90,fwd_return,265
Equity Close-bestätigtes Hoch,265,-0.08256463128169438,-0.0585920099531169,0.0631512243217315,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.007231413965351993,0.00501809877766683,True,Equity,90,fwd_mdd,265
Index Close-bestätigtes Hoch,79,0.000500695142285899,0.0128448986028038,0.059534069351162566,Baseline (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.10184745506138605,0.11515768355221674,False,Index,30,fwd_return,79
Index Close-bestätigtes Hoch,79,-0.05858179764291948,-0.051919109857049,0.04665980533635798,Baseline (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.17931108150684213,0.02275795428869691,False,Index,30,fwd_mdd,79
Index Close-bestätigtes Hoch,79,-0.0031382848288220894,0.0021137371381221,0.08404981808632633,Baseline (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.006140247905128936,0.012904041073681633,True,Index,60,fwd_return,79
Index Close-bestätigtes Hoch,79,-0.09025806097112285,-0.0739517415386521,0.06666031686967534,Baseline (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.05686690194873889,0.001812316902597077,False,Index,60,fwd_mdd,79
Index Close-bestätigtes Hoch,79,-0.00929497006302044,0.0051310544110796,0.10657369073188135,Baseline (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.0003912721240992237,2.412823538188792e-05,True,Index,90,fwd_return,79
Index Close-bestätigtes Hoch,79,-0.11968760230678183,-0.0942514287897088,0.08671005206447356,Baseline (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.009042254690897294,0.0001328224051877048,True,Index,90,fwd_mdd,79
