hypothese,zielgröße,getestete_kombinationen,anteil_signifikant
P1_PCR_Extremregime,fwd_return,9,0.7777777777777778
P1_PCR_Extremregime,fwd_mdd,9,0.7777777777777778
P1_PCR_Extremregime_vs_Baseline,fwd_return,9,1.0
P1_PCR_Extremregime_vs_Baseline,fwd_mdd,9,0.7777777777777778
P2_PCR_Richtung,fwd_return,9,0.0
P2_PCR_Richtung,fwd_mdd,9,0.0
P3_PCR_Quartile,fwd_return,9,1.0
P3_PCR_Quartile,fwd_mdd,9,1.0
P4_Angst_Spitze,fwd_return,6,0.16666666666666666
P4_Angst_Spitze,fwd_mdd,6,0.16666666666666666
P5_Sorglosigkeit_Spitze,fwd_return,9,0.3333333333333333
P5_Sorglosigkeit_Spitze,fwd_mdd,9,0.0
P6_Divergenz_Equity_Index,fwd_return,6,1.0
P6_Divergenz_Equity_Index,fwd_mdd,6,1.0
P7_Wochentrend_PCR_Extrem,fwd_return,9,0.2222222222222222
P7_Wochentrend_PCR_Extrem,fwd_mdd,9,0.1111111111111111
P8_Intraday_Spike_vs_Bestätigung,fwd_return,9,0.2222222222222222
P8_Intraday_Spike_vs_Bestätigung,fwd_mdd,9,0.2222222222222222
P8_Intraday_Spike_vs_Baseline,fwd_return,9,0.5555555555555556
P8_Intraday_Spike_vs_Baseline,fwd_mdd,9,0.2222222222222222
P9_Thrust_Collapse,fwd_return,18,0.3333333333333333
P9_Thrust_Collapse,fwd_mdd,18,0.3333333333333333
P10_Trend_Divergenz,fwd_return,27,0.037037037037037035
P10_Trend_Divergenz,fwd_mdd,27,0.1111111111111111
