phase_id,ampel,start,ende,dauer_tage
1,gelb,2009-09-16,2009-09-30,11
2,rot,2009-10-01,2009-10-02,2
3,gelb,2009-10-05,2009-10-27,17
4,rot,2009-10-28,2009-10-28,1
5,gelb,2009-10-29,2009-10-29,1
6,rot,2009-10-30,2009-11-04,4
7,gelb,2009-11-05,2009-12-23,34
8,grün,2009-12-24,2009-12-24,1
9,gelb,2009-12-28,2010-01-07,8
10,grün,2010-01-08,2010-01-20,8
11,gelb,2010-01-21,2010-02-16,18
12,grün,2010-02-17,2010-02-22,4
13,gelb,2010-02-23,2010-02-24,2
14,grün,2010-02-25,2010-04-26,42
15,gelb,2010-04-27,2010-04-28,2
16,grün,2010-04-29,2010-04-29,1
17,gelb,2010-04-30,2010-05-05,4
18,rot,2010-05-06,2010-05-11,4
19,gelb,2010-05-12,2010-05-13,2
20,rot,2010-05-14,2010-06-15,22
21,gelb,2010-06-16,2010-06-21,4
22,rot,2010-06-22,2010-07-08,12
23,gelb,2010-07-09,2010-07-09,1
24,rot,2010-07-12,2010-07-19,6
25,gelb,2010-07-20,2010-07-20,1
26,rot,2010-07-21,2010-07-21,1
27,gelb,2010-07-22,2010-08-10,14
28,rot,2010-08-11,2010-08-16,4
29,gelb,2010-08-17,2010-08-18,2
30,rot,2010-08-19,2010-08-26,6
31,gelb,2010-08-27,2010-08-27,1
32,rot,2010-08-30,2010-08-31,2
33,gelb,2010-09-01,2010-12-02,65
34,grün,2010-12-03,2010-12-06,2
35,gelb,2010-12-07,2010-12-07,1
36,grün,2010-12-08,2010-12-30,16
37,gelb,2010-12-31,2011-01-10,7
38,grün,2011-01-11,2011-01-18,5
39,gelb,2011-01-19,2011-01-25,5
40,grün,2011-01-26,2011-01-27,2
41,gelb,2011-01-28,2011-02-03,5
42,grün,2011-02-04,2011-02-04,1
43,gelb,2011-02-07,2011-02-07,1
44,grün,2011-02-08,2011-02-18,9
45,gelb,2011-02-22,2011-03-23,22
46,grün,2011-03-24,2011-03-25,2
47,gelb,2011-03-28,2011-03-29,2
48,grün,2011-03-30,2011-05-13,32
49,gelb,2011-05-16,2011-05-16,1
50,grün,2011-05-17,2011-06-10,18
51,gelb,2011-06-13,2011-06-13,1
52,grün,2011-06-14,2011-06-14,1
53,gelb,2011-06-15,2011-06-28,10
54,grün,2011-06-29,2011-07-15,12
55,gelb,2011-07-18,2011-07-18,1
56,grün,2011-07-19,2011-07-25,5
