phase_id,ampel,start,ende,dauer_tage
1,grün,2007-01-03,2007-07-25,141
2,gelb,2007-07-26,2007-08-14,14
3,rot,2007-08-15,2007-08-16,2
4,gelb,2007-08-17,2007-09-20,24
5,grün,2007-09-21,2007-10-15,17
6,gelb,2007-10-16,2007-10-16,1
7,grün,2007-10-17,2007-10-18,2
8,gelb,2007-10-19,2007-10-25,5
9,grün,2007-10-26,2007-10-29,2
10,gelb,2007-10-30,2007-10-30,1
11,grün,2007-10-31,2007-10-31,1
12,gelb,2007-11-01,2007-11-09,7
13,rot,2007-11-12,2007-11-12,1
14,gelb,2007-11-13,2007-12-20,27
15,grün,2007-12-21,2007-12-26,3
16,gelb,2007-12-27,2008-01-18,16
17,rot,2008-01-22,2008-01-22,1
18,gelb,2008-01-23,2008-03-13,36
19,rot,2008-03-14,2008-03-17,2
20,gelb,2008-03-18,2008-04-24,27
21,grün,2008-04-25,2008-04-28,2
22,gelb,2008-04-29,2008-04-30,2
23,grün,2008-05-01,2008-06-02,22
24,gelb,2008-06-03,2008-06-04,2
25,grün,2008-06-05,2008-06-05,1
26,gelb,2008-06-06,2008-08-14,49
27,grün,2008-08-15,2008-08-15,1
28,gelb,2008-08-18,2008-08-20,3
29,grün,2008-08-21,2008-08-22,2
30,gelb,2008-08-25,2008-08-26,2
31,grün,2008-08-27,2008-08-28,2
32,gelb,2008-08-29,2008-09-12,10
33,rot,2008-09-15,2009-05-18,170
34,gelb,2009-05-19,2009-05-20,2
35,rot,2009-05-21,2009-05-28,5
36,gelb,2009-05-29,2009-05-29,1
37,rot,2009-06-01,2009-06-01,1
38,gelb,2009-06-02,2009-06-02,1
39,rot,2009-06-03,2009-06-04,2
40,gelb,2009-06-05,2009-06-12,6
41,rot,2009-06-15,2009-06-18,4
42,gelb,2009-06-19,2009-06-19,1
43,rot,2009-06-22,2009-06-23,2
44,gelb,2009-06-24,2009-07-06,8
45,rot,2009-07-07,2009-07-08,2
46,gelb,2009-07-09,2009-10-29,80
47,rot,2009-10-30,2009-10-30,1
48,gelb,2009-11-02,2009-12-21,35
49,grün,2009-12-22,2009-12-28,4
50,gelb,2009-12-29,2009-12-29,1
51,grün,2009-12-30,2009-12-30,1
52,gelb,2009-12-31,2010-01-04,2
53,grün,2010-01-05,2010-01-20,11
54,gelb,2010-01-21,2010-02-19,21
55,grün,2010-02-22,2010-02-22,1
56,gelb,2010-02-23,2010-02-25,3
57,grün,2010-02-26,2010-04-26,41
58,gelb,2010-04-27,2010-04-28,2
59,grün,2010-04-29,2010-04-29,1
60,gelb,2010-04-30,2010-05-05,4
61,rot,2010-05-06,2010-05-07,2
62,gelb,2010-05-10,2010-05-13,4
63,rot,2010-05-14,2010-05-26,9
64,gelb,2010-05-27,2010-05-27,1
65,rot,2010-05-28,2010-06-02,3
66,gelb,2010-06-03,2010-06-03,1
67,rot,2010-06-04,2010-06-10,5
68,gelb,2010-06-11,2010-06-28,12
69,rot,2010-06-29,2010-07-02,4
70,gelb,2010-07-06,2010-10-08,68
71,grün,2010-10-11,2010-10-18,6
72,gelb,2010-10-19,2010-10-19,1
73,grün,2010-10-20,2010-10-25,4
74,gelb,2010-10-26,2010-11-02,6
75,grün,2010-11-03,2010-11-11,7
76,gelb,2010-11-12,2010-11-17,4
77,grün,2010-11-18,2010-11-22,3
78,gelb,2010-11-23,2010-11-23,1
79,grün,2010-11-24,2010-11-24,1
80,gelb,2010-11-26,2010-12-01,4
81,grün,2010-12-02,2011-01-27,39
82,gelb,2011-01-28,2011-01-28,1
83,grün,2011-01-31,2011-02-18,15
84,gelb,2011-02-22,2011-02-24,3
85,grün,2011-02-25,2011-02-28,2
86,gelb,2011-03-01,2011-03-02,2
87,grün,2011-03-03,2011-03-04,2
88,gelb,2011-03-07,2011-03-07,1
89,grün,2011-03-08,2011-03-08,1
90,gelb,2011-03-09,2011-03-22,10
91,grün,2011-03-23,2011-06-14,58
