Fenster,Schwelle,Horizont,Signale,Trefferquote,Trefferq_Baseline,Fwd_Rendite,Rendite_Baseline,Fwd_MaxDD,MaxDD_Baseline,belastbar
10,0.15,10,394,0.1116751269035533,0.15180381029590595,0.0032268712787791435,0.004023575767075181,-0.022392444103521664,-0.026625913789882886,True
10,0.15,15,394,0.1700507614213198,0.1777462505066883,0.0048983490084891,0.006012833192617831,-0.029938175258980536,-0.03425077374039035,True
10,0.15,30,394,0.22588832487309646,0.24584515605999188,0.01286151102786412,0.011886395710880715,-0.04320560722868155,-0.05125369737830861,True
10,0.2,10,88,0.11363636363636363,0.15180381029590595,-0.006560521221135004,0.004023575767075181,-0.02621692090251951,-0.026625913789882886,True
10,0.2,15,88,0.2840909090909091,0.1777462505066883,-0.008680215617620664,0.006012833192617831,-0.038819175300443966,-0.03425077374039035,True
10,0.2,30,88,0.36363636363636365,0.24584515605999188,0.005181080763881505,0.011886395710880715,-0.051719746020362695,-0.05125369737830861,True
10,0.25,10,88,0.11363636363636363,0.15180381029590595,-0.006560521221135004,0.004023575767075181,-0.02621692090251951,-0.026625913789882886,True
10,0.25,15,88,0.2840909090909091,0.1777462505066883,-0.008680215617620664,0.006012833192617831,-0.038819175300443966,-0.03425077374039035,True
10,0.25,30,88,0.36363636363636365,0.24584515605999188,0.005181080763881505,0.011886395710880715,-0.051719746020362695,-0.05125369737830861,True
15,0.15,10,244,0.13934426229508196,0.15180381029590595,-0.0008179298728767085,0.004023575767075181,-0.024993656737982328,-0.026625913789882886,True
15,0.15,15,244,0.20081967213114754,0.1777462505066883,0.0016147397735601237,0.006012833192617831,-0.03364127564961121,-0.03425077374039035,True
15,0.15,30,244,0.28688524590163933,0.24584515605999188,0.010713698847846311,0.011886395710880715,-0.04630155756076998,-0.05125369737830861,True
15,0.2,10,60,0.26666666666666666,0.15180381029590595,-0.015804900625974325,0.004023575767075181,-0.03432914299407479,-0.026625913789882886,True
15,0.2,15,60,0.4,0.1777462505066883,-0.009393722309001358,0.006012833192617831,-0.04555463114476111,-0.03425077374039035,True
15,0.2,30,60,0.4,0.24584515605999188,0.005794554326427131,0.011886395710880715,-0.0527942455429979,-0.05125369737830861,True
15,0.25,10,60,0.26666666666666666,0.15180381029590595,-0.015804900625974325,0.004023575767075181,-0.03432914299407479,-0.026625913789882886,True
15,0.25,15,60,0.4,0.1777462505066883,-0.009393722309001358,0.006012833192617831,-0.04555463114476111,-0.03425077374039035,True
15,0.25,30,60,0.4,0.24584515605999188,0.005794554326427131,0.011886395710880715,-0.0527942455429979,-0.05125369737830861,True
30,0.15,10,167,0.18562874251497005,0.15180381029590595,0.00036024735530522687,0.004023575767075181,-0.02786561738682102,-0.026625913789882886,True
30,0.15,15,167,0.25748502994011974,0.1777462505066883,0.002633267971468158,0.006012833192617831,-0.036487546373494516,-0.03425077374039035,True
30,0.15,30,167,0.2994011976047904,0.24584515605999188,0.019877329006728114,0.011886395710880715,-0.045628803614011317,-0.05125369737830861,True
30,0.2,10,10,0.3,0.15180381029590595,-0.031830876928925236,0.004023575767075181,-0.0440862526456937,-0.026625913789882886,False
30,0.2,15,10,0.8,0.1777462505066883,-0.03926265586836023,0.006012833192617831,-0.0632943826506461,-0.03425077374039035,False
30,0.2,30,10,0.8,0.24584515605999188,-0.0008328129053145061,0.011886395710880715,-0.06683526658680827,-0.05125369737830861,False
30,0.25,10,6,0.3333333333333333,0.15180381029590595,-0.0372892485272997,0.004023575767075181,-0.04739851947576731,-0.026625913789882886,False
30,0.25,15,6,1.0,0.1777462505066883,-0.04602802162720848,0.006012833192617831,-0.07118451133481013,-0.03425077374039035,False
30,0.25,30,6,1.0,0.24584515605999188,0.0025317105210734825,0.011886395710880715,-0.07118451133481013,-0.05125369737830861,False
