phase_id,ampel,start,ende,dauer_tage
1,grün,2007-01-03,2007-03-02,40
2,gelb,2007-03-05,2007-03-05,1
3,grün,2007-03-06,2007-07-25,98
4,gelb,2007-07-26,2007-08-14,14
5,rot,2007-08-15,2007-08-16,2
6,gelb,2007-08-17,2007-09-18,22
7,grün,2007-09-19,2007-09-19,1
8,gelb,2007-09-20,2007-09-20,1
9,grün,2007-09-21,2007-10-12,16
10,gelb,2007-10-15,2007-10-16,2
11,grün,2007-10-17,2007-10-18,2
12,gelb,2007-10-19,2007-10-30,8
13,grün,2007-10-31,2007-10-31,1
14,gelb,2007-11-01,2007-12-20,35
15,grün,2007-12-21,2007-12-26,3
16,gelb,2007-12-27,2008-01-18,16
17,rot,2008-01-22,2008-01-22,1
18,gelb,2008-01-23,2008-03-07,32
19,rot,2008-03-10,2008-03-10,1
20,gelb,2008-03-11,2008-03-13,3
21,rot,2008-03-14,2008-03-17,2
22,gelb,2008-03-18,2008-03-18,1
23,rot,2008-03-19,2008-03-19,1
24,gelb,2008-03-20,2008-04-24,24
25,grün,2008-04-25,2008-04-28,2
26,gelb,2008-04-29,2008-04-30,2
27,grün,2008-05-01,2008-05-06,4
28,gelb,2008-05-07,2008-05-07,1
29,grün,2008-05-08,2008-05-22,11
30,gelb,2008-05-23,2008-05-27,2
31,grün,2008-05-28,2008-05-30,3
32,gelb,2008-06-02,2008-06-04,3
33,grün,2008-06-05,2008-06-05,1
34,gelb,2008-06-06,2008-09-12,69
35,rot,2008-09-15,2009-05-15,168
36,gelb,2009-05-18,2009-05-20,3
37,rot,2009-05-21,2009-05-28,5
38,gelb,2009-05-29,2009-06-02,3
39,rot,2009-06-03,2009-06-03,1
40,gelb,2009-06-04,2009-06-12,7
41,rot,2009-06-15,2009-06-17,3
42,gelb,2009-06-18,2009-06-19,2
43,rot,2009-06-22,2009-06-23,2
44,gelb,2009-06-24,2009-07-06,8
45,rot,2009-07-07,2009-07-08,2
46,gelb,2009-07-09,2009-10-19,72
47,grün,2009-10-20,2009-10-20,1
48,gelb,2009-10-21,2009-11-24,25
49,grün,2009-11-25,2009-11-25,1
50,gelb,2009-11-27,2009-12-21,17
51,grün,2009-12-22,2009-12-30,6
52,gelb,2009-12-31,2010-01-04,2
