phase_id,ampel,start,ende,dauer_tage
1,grün,2007-01-03,2007-03-01,40
2,gelb,2007-03-02,2007-03-05,2
3,grün,2007-03-06,2007-07-26,100
4,gelb,2007-07-27,2007-07-27,1
5,grün,2007-07-30,2007-07-30,1
6,gelb,2007-07-31,2007-08-01,2
7,grün,2007-08-02,2007-08-02,1
8,gelb,2007-08-03,2007-08-03,1
9,grün,2007-08-06,2007-08-08,3
10,gelb,2007-08-09,2007-08-21,9
11,grün,2007-08-22,2007-08-27,4
12,gelb,2007-08-28,2007-09-18,15
13,grün,2007-09-19,2007-10-12,18
14,gelb,2007-10-15,2007-10-16,2
15,grün,2007-10-17,2007-10-18,2
16,gelb,2007-10-19,2007-11-09,16
17,rot,2007-11-12,2007-11-12,1
18,gelb,2007-11-13,2007-11-23,8
19,rot,2007-11-26,2007-11-26,1
20,gelb,2007-11-27,2007-12-20,18
21,grün,2007-12-21,2007-12-27,4
22,gelb,2007-12-28,2008-01-18,15
23,rot,2008-01-22,2008-01-23,2
24,gelb,2008-01-24,2008-01-24,1
25,rot,2008-01-25,2008-01-25,1
26,gelb,2008-01-28,2008-04-30,66
27,grün,2008-05-01,2008-05-06,4
28,gelb,2008-05-07,2008-05-09,3
29,grün,2008-05-12,2008-05-22,9
30,gelb,2008-05-23,2008-05-23,1
31,grün,2008-05-27,2008-06-02,5
32,gelb,2008-06-03,2008-06-04,2
33,grün,2008-06-05,2008-06-05,1
34,gelb,2008-06-06,2008-07-11,25
35,rot,2008-07-14,2008-07-15,2
36,gelb,2008-07-16,2008-08-13,21
37,grün,2008-08-14,2008-08-15,2
38,gelb,2008-08-18,2008-08-21,4
39,grün,2008-08-22,2008-08-22,1
40,gelb,2008-08-25,2008-09-16,16
41,rot,2008-09-17,2008-09-17,1
42,gelb,2008-09-18,2008-09-18,1
43,rot,2008-09-19,2009-05-13,163
44,gelb,2009-05-14,2009-05-14,1
45,rot,2009-05-15,2009-05-15,1
46,gelb,2009-05-18,2009-10-14,105
47,grün,2009-10-15,2009-10-20,4
48,gelb,2009-10-21,2009-10-21,1
49,grün,2009-10-22,2009-10-23,2
50,gelb,2009-10-26,2009-11-12,14
51,grün,2009-11-13,2009-11-13,1
52,gelb,2009-11-16,2009-11-16,1
53,grün,2009-11-17,2009-11-18,2
54,gelb,2009-11-19,2009-11-19,1
55,grün,2009-11-20,2009-11-25,4
56,gelb,2009-11-27,2009-12-01,3
57,grün,2009-12-02,2009-12-02,1
58,gelb,2009-12-03,2009-12-10,6
59,grün,2009-12-11,2010-01-20,26
60,gelb,2010-01-21,2010-02-02,9
61,grün,2010-02-03,2010-02-03,1
62,gelb,2010-02-04,2010-02-11,6
63,grün,2010-02-12,2010-05-03,55
64,gelb,2010-05-04,2010-05-06,3
65,rot,2010-05-07,2010-05-07,1
66,gelb,2010-05-10,2010-05-17,6
67,rot,2010-05-18,2010-05-26,7
68,gelb,2010-05-27,2010-05-28,2
69,rot,2010-06-01,2010-06-01,1
70,gelb,2010-06-02,2010-06-03,2
71,rot,2010-06-04,2010-06-09,4
72,gelb,2010-06-10,2010-06-28,13
73,rot,2010-06-29,2010-07-01,3
74,gelb,2010-07-02,2010-08-05,24
75,grün,2010-08-06,2010-08-09,2
76,gelb,2010-08-10,2010-09-02,18
77,grün,2010-09-03,2010-09-03,1
78,gelb,2010-09-07,2010-09-09,3
79,grün,2010-09-10,2010-09-20,7
80,gelb,2010-09-21,2010-09-23,3
81,grün,2010-09-24,2010-09-24,1
82,gelb,2010-09-27,2010-10-07,9
83,grün,2010-10-08,2010-11-15,27
84,gelb,2010-11-16,2010-11-17,2
85,grün,2010-11-18,2010-11-26,6
86,gelb,2010-11-29,2010-12-01,3
87,grün,2010-12-02,2011-02-18,55
88,gelb,2011-02-22,2011-02-24,3
89,grün,2011-02-25,2011-03-04,6
90,gelb,2011-03-07,2011-03-07,1
91,grün,2011-03-08,2011-03-08,1
92,gelb,2011-03-09,2011-03-10,2
93,grün,2011-03-11,2011-03-11,1
94,gelb,2011-03-14,2011-03-21,6
95,grün,2011-03-22,2011-06-15,60
96,gelb,2011-06-16,2011-06-17,2
97,grün,2011-06-20,2011-07-26,26
98,gelb,2011-07-27,2011-08-04,7
99,rot,2011-08-05,2011-08-12,6
100,gelb,2011-08-15,2011-08-17,3
101,rot,2011-08-18,2011-08-26,7
102,gelb,2011-08-29,2011-09-01,4
103,rot,2011-09-02,2011-09-14,8
104,gelb,2011-09-15,2011-09-20,4
105,rot,2011-09-21,2011-10-11,15
106,gelb,2011-10-12,2011-10-18,5
107,rot,2011-10-19,2011-10-20,2
108,gelb,2011-10-21,2011-10-31,7
109,rot,2011-11-01,2011-11-01,1
110,gelb,2011-11-02,2011-11-08,5
111,rot,2011-11-09,2011-11-09,1
112,gelb,2011-11-10,2011-11-16,5
113,rot,2011-11-17,2011-11-17,1
114,gelb,2011-11-18,2011-11-22,3
115,rot,2011-11-23,2011-11-25,2
116,gelb,2011-11-28,2011-12-19,16
117,grün,2011-12-20,2011-12-27,5
118,gelb,2011-12-28,2012-01-03,4
119,grün,2012-01-04,2012-05-11,90
120,gelb,2012-05-14,2012-06-07,18
121,grün,2012-06-08,2012-06-08,1
122,gelb,2012-06-11,2012-06-14,4
123,grün,2012-06-15,2012-12-27,134
124,gelb,2012-12-28,2012-12-28,1
125,grün,2012-12-31,2014-10-10,449
126,gelb,2014-10-13,2014-10-17,5
127,grün,2014-10-20,2014-12-15,40
128,gelb,2014-12-16,2014-12-16,1
129,grün,2014-12-17,2015-08-20,170
130,gelb,2015-08-21,2015-08-21,1
131,rot,2015-08-24,2015-08-25,2
132,gelb,2015-08-26,2015-09-15,14
133,grün,2015-09-16,2015-09-17,2
134,gelb,2015-09-18,2015-09-18,1
135,grün,2015-09-21,2015-09-21,1
136,gelb,2015-09-22,2015-10-02,9
137,grün,2015-10-05,2015-12-10,48
138,gelb,2015-12-11,2015-12-14,2
139,grün,2015-12-15,2016-01-06,15
140,gelb,2016-01-07,2016-02-24,33
141,grün,2016-02-25,2016-02-25,1
142,gelb,2016-02-26,2016-02-29,2
143,grün,2016-03-01,2016-06-23,81
144,gelb,2016-06-24,2016-06-27,2
145,grün,2016-06-28,2016-11-03,91
146,gelb,2016-11-04,2016-11-04,1
147,grün,2016-11-07,2018-02-02,312
148,rot,2018-02-05,2018-02-05,1
149,gelb,2018-02-06,2018-02-07,2
150,rot,2018-02-08,2018-02-08,1
151,gelb,2018-02-09,2018-02-13,3
152,grün,2018-02-14,2018-02-28,10
153,gelb,2018-03-01,2018-03-01,1
154,grün,2018-03-02,2018-03-21,14
155,gelb,2018-03-22,2018-04-11,14
156,grün,2018-04-12,2018-04-23,8
157,gelb,2018-04-24,2018-04-25,2
158,grün,2018-04-26,2018-10-09,116
159,gelb,2018-10-10,2018-10-15,4
160,grün,2018-10-16,2018-10-17,2
161,gelb,2018-10-18,2018-11-06,14
162,grün,2018-11-07,2018-11-08,2
163,gelb,2018-11-09,2018-11-30,15
164,grün,2018-12-03,2018-12-03,1
165,gelb,2018-12-04,2018-12-20,12
166,rot,2018-12-21,2018-12-28,5
167,gelb,2018-12-31,2019-01-17,13
168,grün,2019-01-18,2019-01-18,1
169,gelb,2019-01-22,2019-01-24,3
170,grün,2019-01-25,2019-01-25,1
171,gelb,2019-01-28,2019-01-29,2
172,grün,2019-01-30,2019-05-10,71
173,gelb,2019-05-13,2019-05-13,1
174,grün,2019-05-14,2019-05-30,12
175,gelb,2019-05-31,2019-06-03,2
176,grün,2019-06-04,2019-08-02,43
177,gelb,2019-08-05,2019-08-07,3
178,grün,2019-08-08,2019-08-09,2
179,gelb,2019-08-12,2019-08-12,1
180,grün,2019-08-13,2019-08-13,1
181,gelb,2019-08-14,2019-08-15,2
182,grün,2019-08-16,2019-08-22,5
183,gelb,2019-08-23,2019-08-28,4
184,grün,2019-08-29,2019-08-30,2
185,gelb,2019-09-03,2019-09-03,1
186,grün,2019-09-04,2019-10-01,20
187,gelb,2019-10-02,2019-10-02,1
188,grün,2019-10-03,2019-10-07,3
189,gelb,2019-10-08,2019-10-08,1
190,grün,2019-10-09,2020-02-21,93
191,gelb,2020-02-24,2020-02-26,3
192,rot,2020-02-27,2020-04-28,43
193,gelb,2020-04-29,2020-04-29,1
194,rot,2020-04-30,2020-05-07,6
195,gelb,2020-05-08,2020-05-11,2
196,rot,2020-05-12,2020-05-15,4
197,gelb,2020-05-18,2020-06-10,17
198,rot,2020-06-11,2020-06-15,3
199,gelb,2020-06-16,2020-06-23,6
200,rot,2020-06-24,2020-06-24,1
201,gelb,2020-06-25,2020-06-25,1
202,rot,2020-06-26,2020-06-26,1
203,gelb,2020-06-29,2020-07-10,9
204,rot,2020-07-13,2020-07-16,4
205,gelb,2020-07-17,2020-08-26,29
206,rot,2020-08-27,2020-08-27,1
207,gelb,2020-08-28,2020-08-28,1
208,rot,2020-08-31,2020-10-08,28
209,gelb,2020-10-09,2020-10-09,1
210,rot,2020-10-12,2020-11-04,18
211,gelb,2020-11-05,2021-01-26,55
212,rot,2021-01-27,2021-02-01,4
213,gelb,2021-02-02,2021-02-24,16
214,rot,2021-02-25,2021-02-26,2
215,gelb,2021-03-01,2021-03-02,2
216,rot,2021-03-03,2021-03-04,2
217,gelb,2021-03-05,2021-03-05,1
218,rot,2021-03-08,2021-03-08,1
219,gelb,2021-03-09,2021-04-09,23
220,grün,2021-04-12,2021-04-19,6
221,gelb,2021-04-20,2021-04-20,1
222,grün,2021-04-21,2021-04-21,1
223,gelb,2021-04-22,2021-04-22,1
224,grün,2021-04-23,2021-04-30,6
225,gelb,2021-05-03,2021-05-06,4
226,grün,2021-05-07,2021-05-07,1
227,gelb,2021-05-10,2021-05-21,10
228,grün,2021-05-24,2021-05-24,1
229,gelb,2021-05-25,2021-05-25,1
230,grün,2021-05-26,2021-06-02,5
231,gelb,2021-06-03,2021-06-03,1
232,grün,2021-06-04,2021-07-07,23
233,gelb,2021-07-08,2021-07-08,1
234,grün,2021-07-09,2021-07-16,6
235,gelb,2021-07-19,2021-07-19,1
236,grün,2021-07-20,2021-08-17,21
237,gelb,2021-08-18,2021-08-19,2
238,grün,2021-08-20,2021-09-17,20
239,gelb,2021-09-20,2021-09-21,2
240,grün,2021-09-22,2021-09-27,4
241,gelb,2021-09-28,2021-10-12,11
242,grün,2021-10-13,2021-11-09,20
243,gelb,2021-11-10,2021-11-10,1
244,grün,2021-11-11,2021-11-19,7
245,gelb,2021-11-22,2021-12-02,8
246,rot,2021-12-03,2021-12-03,1
247,gelb,2021-12-06,2021-12-21,12
248,grün,2021-12-22,2022-01-04,9
249,gelb,2022-01-05,2022-01-20,11
250,rot,2022-01-21,2022-01-28,6
251,gelb,2022-01-31,2022-02-10,9
252,rot,2022-02-11,2022-02-14,2
253,gelb,2022-02-15,2022-02-16,2
254,rot,2022-02-17,2022-02-24,5
255,gelb,2022-02-25,2022-02-28,2
256,rot,2022-03-01,2022-03-15,11
257,gelb,2022-03-16,2022-04-21,26
258,rot,2022-04-22,2022-05-03,8
259,gelb,2022-05-04,2022-05-04,1
260,rot,2022-05-05,2022-05-26,16
261,gelb,2022-05-27,2022-05-27,1
262,rot,2022-05-31,2022-05-31,1
263,gelb,2022-06-01,2022-06-09,7
264,rot,2022-06-10,2022-07-06,17
265,gelb,2022-07-07,2022-07-11,3
266,rot,2022-07-12,2022-07-13,2
267,gelb,2022-07-14,2022-09-02,37
268,rot,2022-09-06,2022-09-06,1
269,gelb,2022-09-07,2022-09-12,4
270,rot,2022-09-13,2022-09-13,1
271,gelb,2022-09-14,2022-09-19,4
272,rot,2022-09-20,2022-09-21,2
273,gelb,2022-09-22,2022-09-22,1
274,rot,2022-09-23,2022-10-27,25
275,gelb,2022-10-28,2023-04-13,114
276,grün,2023-04-14,2023-05-03,14
277,gelb,2023-05-04,2023-05-04,1
278,grün,2023-05-05,2023-10-02,103
279,gelb,2023-10-03,2023-10-03,1
280,grün,2023-10-04,2023-10-17,10
281,gelb,2023-10-18,2023-10-23,4
282,grün,2023-10-24,2023-10-24,1
283,gelb,2023-10-25,2023-10-30,4
284,grün,2023-10-31,2024-07-23,182
285,gelb,2024-07-24,2024-07-25,2
286,grün,2024-07-26,2024-07-29,2
287,gelb,2024-07-30,2024-07-30,1
288,grün,2024-07-31,2024-07-31,1
289,gelb,2024-08-01,2024-08-02,2
290,rot,2024-08-05,2024-08-05,1
291,gelb,2024-08-06,2024-08-13,6
292,grün,2024-08-14,2024-08-30,13
293,gelb,2024-09-03,2024-09-10,6
294,grün,2024-09-11,2024-10-04,18
295,gelb,2024-10-07,2024-10-16,8
296,grün,2024-10-17,2024-10-24,6
297,gelb,2024-10-25,2024-10-25,1
298,grün,2024-10-28,2024-10-29,2
299,gelb,2024-10-30,2024-11-04,4
300,grün,2024-11-05,2024-12-17,30
301,gelb,2024-12-18,2024-12-19,2
302,grün,2024-12-20,2025-02-26,44
303,gelb,2025-02-27,2025-02-27,1
304,grün,2025-02-28,2025-02-28,1
305,gelb,2025-03-03,2025-03-20,14
306,grün,2025-03-21,2025-03-27,5
307,gelb,2025-03-28,2025-04-03,5
308,rot,2025-04-04,2025-04-14,7
309,gelb,2025-04-15,2025-04-15,1
310,rot,2025-04-16,2025-04-16,1
