Fenster,Schwelle,Horizont,Signale,Trefferquote,Trefferq_Baseline,Fwd_Rendite,Rendite_Baseline,Fwd_MaxDD,MaxDD_Baseline,belastbar
10,0.15,10,848,0.12971698113207547,0.15930279691933522,0.004107674185328892,0.006483709643163893,-0.030040742382449487,-0.03192128432440223,True
10,0.15,15,848,0.1580188679245283,0.18139440616132954,0.005887872221860181,0.009718711440901476,-0.04000491948344589,-0.04095118065017558,True
10,0.15,30,848,0.2511792452830189,0.23956222132144306,0.011850212448471339,0.019488372609561894,-0.06317969186301368,-0.06093728514456455,True
10,0.2,10,277,0.1299638989169675,0.15930279691933522,0.0027771346820877384,0.006483709643163893,-0.03193287736675597,-0.03192128432440223,True
10,0.2,15,277,0.16606498194945848,0.18139440616132954,0.006731757027158028,0.009718711440901476,-0.0400282069794719,-0.04095118065017558,True
10,0.2,30,277,0.2779783393501805,0.23956222132144306,0.012790619354129508,0.019488372609561894,-0.0609281283020895,-0.06093728514456455,True
10,0.25,10,277,0.1299638989169675,0.15930279691933522,0.0027771346820877384,0.006483709643163893,-0.03193287736675597,-0.03192128432440223,True
10,0.25,15,277,0.16606498194945848,0.18139440616132954,0.006731757027158028,0.009718711440901476,-0.0400282069794719,-0.04095118065017558,True
10,0.25,30,277,0.2779783393501805,0.23956222132144306,0.012790619354129508,0.019488372609561894,-0.0609281283020895,-0.06093728514456455,True
15,0.15,10,636,0.15566037735849056,0.15930279691933522,0.004176978049184152,0.006483709643163893,-0.03183670631740036,-0.03192128432440223,True
15,0.15,15,636,0.19025157232704404,0.18139440616132954,0.005328550906454832,0.009718711440901476,-0.04221699633976019,-0.04095118065017558,True
15,0.15,30,636,0.300314465408805,0.23956222132144306,0.010180252995158807,0.019488372609561894,-0.06576424078193781,-0.06093728514456455,True
15,0.2,10,241,0.17012448132780084,0.15930279691933522,0.005592101512845155,0.006483709643163893,-0.03273640171398157,-0.03192128432440223,True
15,0.2,15,241,0.21161825726141079,0.18139440616132954,0.009486320732758671,0.009718711440901476,-0.04274616325117405,-0.04095118065017558,True
15,0.2,30,241,0.36099585062240663,0.23956222132144306,0.013692496138006476,0.019488372609561894,-0.06689598379575558,-0.06093728514456455,True
15,0.25,10,241,0.17012448132780084,0.15930279691933522,0.005592101512845155,0.006483709643163893,-0.03273640171398157,-0.03192128432440223,True
15,0.25,15,241,0.21161825726141079,0.18139440616132954,0.009486320732758671,0.009718711440901476,-0.04274616325117405,-0.04095118065017558,True
15,0.25,30,241,0.36099585062240663,0.23956222132144306,0.013692496138006476,0.019488372609561894,-0.06689598379575558,-0.06093728514456455,True
30,0.15,10,536,0.23880597014925373,0.15930279691933522,0.004282918734266872,0.006483709643163893,-0.03598464175590223,-0.03192128432440223,True
30,0.15,15,536,0.29850746268656714,0.18139440616132954,0.006594661924899947,0.009718711440901476,-0.047653554400364735,-0.04095118065017558,True
30,0.15,30,536,0.3787313432835821,0.23956222132144306,0.017400405141713003,0.019488372609561894,-0.06884514689887537,-0.06093728514456455,True
30,0.2,10,167,0.2874251497005988,0.15930279691933522,0.0014920681939532272,0.006483709643163893,-0.03917571180067477,-0.03192128432440223,True
30,0.2,15,167,0.3473053892215569,0.18139440616132954,0.0021093629661064458,0.009718711440901476,-0.05171627888152641,-0.04095118065017558,True
30,0.2,30,167,0.46107784431137727,0.23956222132144306,0.005710992312932673,0.019488372609561894,-0.0780400918753488,-0.06093728514456455,True
30,0.25,10,81,0.30864197530864196,0.15930279691933522,-0.00715568417465011,0.006483709643163893,-0.04598602687847157,-0.03192128432440223,True
30,0.25,15,81,0.37037037037037035,0.18139440616132954,-0.00539696004237391,0.009718711440901476,-0.0579014614468625,-0.04095118065017558,True
30,0.25,30,81,0.4567901234567901,0.23956222132144306,-0.0006888707136593695,0.019488372609561894,-0.07921483955431154,-0.06093728514456455,True
