Date,Open,High,Low,Close
2009-09-16,29.03999,29.32001,28.65999,28.85999
2009-09-17,28.85999,30.13,28.73999,29.59999
2009-09-18,29.59999,30.48,29.5,30.23999
2009-09-21,30.23999,32.16,29.89,29.92
2009-09-22,29.92,29.92999,28.95999,29.09
2009-09-23,29.09,29.63,28.28999,29.37999
2009-09-24,29.37999,31.81,29.25999,31.37
2009-09-25,31.37,33.75999,30.92999,31.00999
2009-09-28,31.00999,31.96001,30.67999,30.89
2009-09-29,30.89,31.61,30.60999,31.43999
2009-09-30,31.43999,32.97,31.04999,32.78999
2009-10-01,33.06,35.48,33.06,35.17999
2009-10-02,35.17999,36.71001,34.57999,34.81
2009-10-05,34.81,35.84,32.98,33.29999
2009-10-06,33.16,33.16,31.43999,31.78999
2009-10-07,31.78999,32.2,31.14999,31.17
2009-10-08,31.17,31.17,29.98999,30.51999
2009-10-09,30.51999,30.77,29.17,29.34
2009-10-12,29.34,30.07001,28.73,29.67
2009-10-13,29.67,30.78999,28.62,28.62
2009-10-14,28.42,28.42,27.64999,28.42
2009-10-15,28.42,29.00999,27.28999,27.28999
2009-10-16,27.28999,28.56,26.53999,26.89999
2009-10-19,26.89999,28.34,26.84,27.37999
2009-10-20,27.37999,28.25999,26.90999,26.98
2009-10-21,26.98,30.87,26.23,29.31999
2009-10-22,29.31999,29.62,27.17999,27.57999
2009-10-23,27.57999,29.56,27.20999,29.06
2009-10-26,29.20999,31.87,29.20999,31.06
2009-10-27,31.06,33.36,30.95999,31.67999
2009-10-28,31.67999,35.56,31.67999,35.54999
2009-10-29,34.50999,34.50999,32.03999,32.56
2009-10-30,32.56,38.27,32.56,36.73999
2009-11-02,36.73999,38.91,35.21999,37.34999
2009-11-03,37.34999,38.17999,35.53999,35.60999
2009-11-04,35.60999,36.14,33.95999,35.67
2009-11-05,35.35001,35.35001,33.31,33.45
2009-11-06,33.45,34.35001,32.14,32.17999
2009-11-09,32.17999,32.31,31.12999,31.15999
2009-11-10,31.15999,31.86,30.78,30.95
2009-11-11,30.95,31.63,30.31999,30.60999
2009-11-12,30.60999,32.62,30.26999,32.23999
